Ingredient,Amount,Unit,Description
"Sweet potato",454,g,"1 lb"
"Extra virgin olive oil",5,g,"1 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Frozen broccoli, thawed",1361,g,"3 lb"
"Extra virgin olive oil",10,g,"2 tsp"
"Black pepper, ground",3,g,"1 tsp"
"Onion",220,g,"2 medium"
"Extra virgin olive oil",5,g,"1 tsp"
"Boneless skinless chicken breast",907,g,"2 lb"
"Salt",6,g,"1 tsp"
"Black pepper, ground",3,g,"1 tsp"
"Nonfat cottage cheese",452,g,"2 cup"
"Fat free evaporated milk",340,g,"12 oz"
"Grated parmesan cheese",90,g,"3/4 cup"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",10,g,"1 tbsp"
"Nutmeg, ground",3,g,"1 tsp"
Servings,6
