Ingredient,Amount,Unit,Description
"Extra virgin olive oil",14,g,"1 tbsp"
"Onion",70,g,"1 medium"
"Bell pepper",222,g,"3 medium"
"Carrots",454,g,"1 lb"
"Minced garlic",20,g,"4 tsp"
"Chipotle peppers in adobo sauce",198,g,"7 oz"
"Diced green chiles",113,g,"4 oz"
"Brown rice",370,g,"2 cup"
"Kidney beans, drained and rinsed",798,g,"3x15.5oz cans"
"Water",474,g,"2 cup"
"Chicken bouillon powder",12,g,"1 tbsp"
"Tomato paste",170,g,"6 oz"
"Apple cider vinegar",15,g,"1 tbsp"
"Low sodium soy sauce",14,g,"1 tbsp"
"Chili powder",8,g,"1 tbsp"
"Cumin, ground",10,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Black pepper, ground",2,g,"1 tsp"
Servings,10
