Ingredient,Amount,Unit,Description
"Beef, raw, select, trimmed to 1/8 fat, separable lean only, steak, top sirloin",339,g,"12 oz"
"Cornstarch by Tops Markets, LLC",4,g,"0.5 tbsp"
"Leavening agents, baking soda",2,g,"0.5 tsp"
"Salt, table",2,g,"0.25 tsp"
"Soy sauce made from soy and wheat (shoyu), low sodium",14,g,"1 tbsp"
"Oil, sesame",4,g,"1 tsp"
"Broccoli, unprepared, chopped, frozen",680,g,"1.5 pound"
"Extra virgin olive oil by QO",7,g,"0.5 tbsp"
"Table salt by FIRST STREET",2,g,"0.25 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Minced garlic by STONEMILL",30,g,"2 tbsp"
"Low Sodium Soy Sauce by First Street",28,g,"2 tbsp"
"White wine vinegar by CIRIO",20,g,"4 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, ground, ginger",1,g,"0.5 tsp"
"Extra hot red pepper flakes by DOC MEYERS BRAND",1,g,"0.5 tsp"
"Water, generic, bottled",356,g,"1.5 cup"
"Cornstarch by Bob's Red Mill Natural Foods, Inc.",8,g,"1 tbsp"
Servings,3
