Nutrient,Amount,Unit,DV
Calories,1504,,
"Vitamin A, RAE",12.8,mcg,1 %
"Carotene, alpha",0,mcg,
"Carotene, beta",150.4,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.301,mg,25 %
"Riboflavin [Vitamin B2]",2.36,mg,182 %
"Niacin [Vitamin B3]",1.435,mg,9 %
"Pantothenic acid [Vitamin B5]",0.175,mg,4 %
"Vitamin B6",0.417,mg,25 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",51.36,mcg,13 %
"Folate, food",51.36,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",28,mg,31 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.57,mg,10 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.57,mg,
"Vitamin K",36,mcg,30 %
"Vitamin K1 [Phylloquinone]",36,mcg,
"Betaine",2.9,mg,
"Choline",27.6,mg,5 %
"Calcium",174.88,mg,13 %
"Copper",0.1,mg,11 %
"Fluoride",11.8,mcg,
"Iron",1.03,mg,6 %
"Magnesium",38.56,mg,9 %
"Manganese",4.795,mg,208 %
"Phosphorus",11.52,mg,1 %
"Potassium",432.96,mg,9 %
"Selenium",5.82,mcg,11 %
"Sodium",368.32,mg,16 %
"Zinc",2.74,mg,25 %
"Protein",1.98,g,4 %
"Alanine",0.01,g,
"Arginine",0.008,g,
"Aspartic acid",0.045,g,
"Cystine",0.005,g,
"Glutamic acid",0.03,g,
"Glycine",0.012,g,
"Histidine",0.002,g,0 %
"Isoleucine",0.013,g,1 %
"Leucine",0.017,g,0 %
"Lysine",0.013,g,0 %
"Methionine",0.002,g,
"Phenylalanine",0.018,g,
"Proline",0.151,g,
"Serine",0.01,g,
"Threonine",0.007,g,0 %
"Tryptophan",0.007,g,2 %
"Tyrosine",0.013,g,
"Valine",0.015,g,1 %
"Phenylalanine + Tyrosine",0.031,g,1 %
"Methionine + Cysteine",0.007,g,0 %
"Carbohydrate",387.06,g,141 %
"Fiber",1.78,g,6 %
"Sugars",343.57,g,
"Fructose",158.57,g,
"Galactose",5.21,g,
"Glucose",82.51,g,
"Lactose",0,g,
"Maltose",2.42,g,
"Sucrose",94.81,g,
"Net carbs",385.28,g,
"Fat",0.816,g,1 %
"Saturated fatty acids",0.011,g,0 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Dodecanoic acid",0,g,
"Hexadecanoic acid",0.01,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.002,g,
"Octanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",0.018,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0.018,g,
"Polyunsaturated fatty acids",0.027,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.027,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0,g,
"Cholesterol",0,mg,0 %
"Alcohol, ethyl",0,g,
"Ash",1.65,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",256.45,g,
