Nutrient,Amount,Unit,DV
Calories,540,,
"Vitamin A, RAE",217.62,mcg,24 %
"Carotene, alpha",18.64,mcg,
"Carotene, beta",1436.99,mcg,
"Cryptoxanthin, beta",70.49,mcg,
"Lutein + zeaxanthin",651.24,mcg,
"Lycopene",6755.12,mcg,
"Retinol",81.36,mcg,
"Thiamin [Vitamin B1]",0.481,mg,40 %
"Riboflavin [Vitamin B2]",0.903,mg,69 %
"Niacin [Vitamin B3]",11.619,mg,73 %
"Pantothenic acid [Vitamin B5]",1.184,mg,24 %
"Vitamin B6",1.43,mg,84 %
"Vitamin B12 [Cobalamin]",1.43,mcg,60 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",142.57,mcg,36 %
"Folate, food",100.41,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",93.5,mg,104 %
"Vitamin D",1.2,mcg,6 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",4.52,mg,30 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",4.52,mg,
"Tocopherol, beta",0.03,mg,
"Tocopherol, delta",0.13,mg,
"Tocopherol, gamma",1.86,mg,
"Tocotrienol, alpha",0.06,mg,
"Tocotrienol, beta",0.05,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.05,mg,
"Vitamin K",17.2,mcg,14 %
"Vitamin K1 [Phylloquinone]",12.4,mcg,
"Vitamin K2 [Menaquinone]",0.4,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",253.4,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",159.1,mg,29 %
"Calcium",341.67,mg,26 %
"Copper",0.67,mg,74 %
"Fluoride",0.6,mcg,
"Iodine",0,mcg,0 %
"Iron",5.95,mg,33 %
"Magnesium",179.87,mg,43 %
"Manganese",1.329,mg,58 %
"Phosphorus",745.72,mg,60 %
"Potassium",1535.39,mg,33 %
"Selenium",46.55,mcg,85 %
"Sodium",1147.72,mg,50 %
"Zinc",5.17,mg,47 %
"Protein",49.85,g,100 %
"Alanine",2.307,g,
"Arginine",2.928,g,
"Aspartic acid",4.378,g,
"Cystine",0.516,g,
"Cysteine",0.05,g,
"Glutamic acid",7.996,g,
"Glycine",1.841,g,
"Histidine",1.264,g,111 %
"Hydroxyproline",0,g,
"Isoleucine",2,g,129 %
"Leucine",3.574,g,104 %
"Lysine",3.719,g,120 %
"Methionine",1.152,g,
"Phenylalanine",1.824,g,
"Proline",2.267,g,
"Serine",1.888,g,
"Threonine",1.913,g,117 %
"Tryptophan",0.512,g,125 %
"Tyrosine",1.58,g,
"Valine",2.162,g,110 %
"Phenylalanine + Tyrosine",3.404,g,126 %
"Methionine + Cysteine",1.202,g,77 %
"Carbohydrate",60.39,g,22 %
"Fiber",9.85,g,35 %
"Starch",19.6,g,
"Sugars",19.37,g,
"Fructose",3.21,g,
"Galactose",0,g,
"Glucose",2.73,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.12,g,
"Net carbs",50.54,g,
"0.10 g",1.16 g,undefined,11.14
"Fat",12.547,g,16 %
"Saturated fatty acids",2.579,g,13 %
"Butanoic acid",0.005,g,
"Decanoic acid",0.009,g,
"Docosanoic acid",0.025,g,
"Dodecanoic acid",0.01,g,
"Eicosanoic acid",0.017,g,
"Heptadecanoic acid",0.008,g,
"Hexadecanoic acid",1.527,g,
"Hexanoic acid",0.002,g,
"Octadecanoic acid",0.429,g,
"Octanoic acid",0.003,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0.007,g,
"Tetradecanoic acid",0.046,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",4.865,g,
"Cis-hexadecenoic acid",0.318,g,
"Cis-octadecenoic acid",1.904,g,
"Docosenoic acid",0.033,g,
"Docosenoic cis acid",0.002,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.061,g,
"Heptadecenoic acid",0.006,g,
"Hexadecenoic acid",0.326,g,
"Octadecenoic acid",2.551,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.008,g,
"Tetradecenoic acid",0.012,g,
"Trans-hexadecenoic acid",0.003,g,
"Trans-octadecenoic acid",0.018,g,
"Polyunsaturated fatty acids",3.286,g,
"α-linolenic acid n-3 (ALA)",0.06,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.012,g,
"Linoleic acid n-6 (LA)",1.11,g,
"Docosahexaenoic n-3 acid (DHA)",0.029,g,
"Docosapentaenoic n-3 acid (DPA)",0.012,g,
"Docosatetraenoic acid",0.032,g,
"Eicosadienoic acid",0.027,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.027,g,
"Eicosapentaenoic n-3 acid (EPA)",0.003,g,
"Eicosatetraenoic acid",0.139,g,
"Octadecadienoic CLAs acid",0.009,g,
"Octadecadienoic acid",2.491,g,
"Octadecatetraenoic acid",0.002,g,
"Octadecatrienoic acid",0.167,g,
"Trans-octadecadienoic acid",0.009,g,
"Uncosapentaenoic acid",0,g,
"Fatty acids, total trans",0.03,g,
"Fatty acids, total trans-monoenoic",0.021,g,
"Fatty acids, total trans-polyenoic",0.009,g,
"Cholesterol",147.73,mg,49 %
"Phytosterols",3.82,mg,
"Alcohol, ethyl",0,g,
"Ash",5.47,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",540.2,g,
