Ingredient,Amount,Unit,Description
"Boneless skinless chicken thighs",907,g,"2 lb"
"Salt",6,g,"1 tsp"
"Garam masala",12,g,"2 tbsp"
"Plain nonfat greek yogurt",226,g,"1 cup"
"Quinoa",225,g,"1.25 cup"
"Chicken bouillon powder",5,g,"1.25 tsp"
"Water",600,g,"2.5 cup"
"Onion",330,g,"3 medium"
"Bell pepper",360,g,"3 medium"
"Minced garlic",30,g,"2 tbsp"
"Ginger, fresh",28,g,"1 oz, finely chopped"
"Extra virgin olive oil",15,g,"1 tbsp"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",10,g,"1 tbsp"
"Garam masala",6,g,"1 tbsp"
"Paprika",10,g,"1 tbsp"
"Turmeric, ground",3,g,"1 tsp"
"Crushed tomatoes",794,g,"28oz can"
"Fat free evaporated milk",360,g,"12 oz"
"Nonfat cottage cheese",113,g,"1/2 cup"
Servings,6
