Nutrient,Amount,Unit,DV
Calories,358,,
"Vitamin A, RAE",98.05,mcg,11 %
"Carotene, alpha",9.54,mcg,
"Carotene, beta",1078.59,mcg,
"Cryptoxanthin, beta",4.09,mcg,
"Lutein + zeaxanthin",230.26,mcg,
"Lycopene",14771.86,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.263,mg,22 %
"Riboflavin [Vitamin B2]",0.308,mg,24 %
"Niacin [Vitamin B3]",4.109,mg,26 %
"Pantothenic acid [Vitamin B5]",1.335,mg,27 %
"Vitamin B6",0.672,mg,40 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",113.19,mcg,28 %
"Folate, food",75.23,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",68.6,mg,76 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",6.34,mg,42 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",6.34,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",1.78,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.1,mg,
"Vitamin K",102.6,mcg,86 %
"Vitamin K1 [Phylloquinone]",27.6,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",1.5,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",47.7,mg,9 %
"Calcium",187.26,mg,14 %
"Copper",0.68,mg,76 %
"Fluoride",62.1,mcg,
"Iodine",0,mcg,0 %
"Iron",7.59,mg,42 %
"Magnesium",125.67,mg,30 %
"Manganese",2.746,mg,119 %
"Phosphorus",235.25,mg,19 %
"Potassium",1336.23,mg,28 %
"Selenium",3.58,mcg,7 %
"Sodium",1908.9,mg,83 %
"Zinc",2.19,mg,20 %
"Protein",8.37,g,17 %
"Alanine",0.329,g,
"Arginine",0.671,g,
"Aspartic acid",1.068,g,
"Cystine",0.092,g,
"Cysteine",0.02,g,
"Glutamic acid",1.888,g,
"Glycine",0.305,g,
"Histidine",0.161,g,14 %
"Hydroxyproline",0,g,
"Isoleucine",0.285,g,18 %
"Leucine",0.45,g,13 %
"Lysine",0.326,g,11 %
"Methionine",0.092,g,
"Phenylalanine",0.301,g,
"Proline",0.322,g,
"Serine",0.325,g,
"Threonine",0.249,g,15 %
"Tryptophan",0.074,g,18 %
"Tyrosine",0.194,g,
"Valine",0.353,g,18 %
"Phenylalanine + Tyrosine",0.495,g,18 %
"Methionine + Cysteine",0.204,g,13 %
"Carbohydrate",42.62,g,15 %
"Fiber",13.91,g,50 %
"Starch",0.21,g,
"Sugars",22.65,g,
"Fructose",8.84,g,
"Galactose",0.12,g,
"Glucose",8.67,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",1.2,g,
"Net carbs",28.71,g,
"0.02 g",0.07 g,undefined,3.55
"Fat",20.601,g,26 %
"Saturated fatty acids",2.287,g,11 %
"Butanoic acid",0.001,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.01,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0.034,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.762,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.277,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",9.562,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0.002,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.125,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.022,g,
"Octadecenoic acid",3.896,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",6.511,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.061,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0.053,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",5.387,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.076,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Beta-sitosterol",19.8,mg,
"Campesterol",3,mg,
"Cholesterol",0,mg,0 %
"Phytosterols",19.18,mg,
"Stigmasterol",0,mg,
"Alcohol, ethyl",0,g,
"Ash",5.09,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",450.33,g,
