Nutrient,Amount,Unit,DV
Calories,383,,
"Vitamin A, RAE",87.85,mcg,10 %
"Carotene, alpha",101.47,mcg,
"Carotene, beta",455.44,mcg,
"Cryptoxanthin, beta",0.1,mcg,
"Lutein + zeaxanthin",127.83,mcg,
"Lycopene",2574.65,mcg,
"Retinol",45.13,mcg,
"Thiamin [Vitamin B1]",0.253,mg,21 %
"Riboflavin [Vitamin B2]",0.445,mg,34 %
"Niacin [Vitamin B3]",18.72,mg,117 %
"Pantothenic acid [Vitamin B5]",2.814,mg,56 %
"Vitamin B6",1.698,mg,100 %
"Vitamin B12 [Cobalamin]",0.53,mcg,22 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",86.09,mcg,22 %
"Folate, food",35.69,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",19.9,mg,22 %
"Vitamin D",0.05,mcg,0 %
"Vitamin D3",0.05,mcg,
"Vitamin E (alpha-tocopherol)",2.63,mg,18 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.63,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.16,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",43.1,mcg,36 %
"Vitamin K1 [Phylloquinone]",15.2,mcg,
"Vitamin K2 [Menaquinone]",15.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",12.9,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",178.5,mg,32 %
"Calcium",161.08,mg,12 %
"Copper",0.24,mg,27 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",2.76,mg,15 %
"Magnesium",95.96,mg,23 %
"Manganese",0.206,mg,9 %
"Phosphorus",527.83,mg,42 %
"Potassium",1079.99,mg,23 %
"Selenium",45.47,mcg,83 %
"Sodium",999.69,mg,43 %
"Zinc",2.16,mg,20 %
"Protein",46.62,g,93 %
"Alanine",2.488,g,
"Arginine",2.927,g,
"Aspartic acid",4.102,g,
"Cystine",0.449,g,
"Cysteine",0,g,
"Glutamic acid",6.739,g,
"Glycine",1.88,g,
"Histidine",1.61,g,141 %
"Hydroxyproline",0,g,
"Isoleucine",2.163,g,139 %
"Leucine",3.674,g,107 %
"Lysine",4.172,g,134 %
"Methionine",1.133,g,
"Phenylalanine",1.803,g,
"Proline",1.61,g,
"Serine",1.725,g,
"Threonine",1.965,g,120 %
"Tryptophan",0.553,g,135 %
"Tyrosine",1.624,g,
"Valine",2.32,g,118 %
"Phenylalanine + Tyrosine",3.427,g,127 %
"Methionine + Cysteine",1.133,g,73 %
"Carbohydrate",17.49,g,6 %
"Fiber",4.72,g,17 %
"Sugars",6.64,g,
"Fructose",1.55,g,
"Galactose",0.09,g,
"Glucose",1.59,g,
"Lactose",0.16,g,
"Maltose",0,g,
"Sucrose",0,g,
"Net carbs",12.77,g,
"0.06 g",0.67 g,undefined,12.11
"Fat",13.433,g,17 %
"Saturated fatty acids",3.237,g,16 %
"Butanoic acid",0.045,g,
"Decanoic acid",0.088,g,
"Docosanoic acid",0.006,g,
"Dodecanoic acid",0.072,g,
"Eicosanoic acid",0.005,g,
"Heptadecanoic acid",0.018,g,
"Hexadecanoic acid",1.327,g,
"Hexanoic acid",0.038,g,
"Octadecanoic acid",0.481,g,
"Octanoic acid",0.024,g,
"Pentadecanoic acid",0.027,g,
"Tetracosanoic acid",0.001,g,
"Tetradecanoic acid",0.229,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",6.249,g,
"Cis-hexadecenoic acid",0.178,g,
"Cis-octadecenoic acid",1.52,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.022,g,
"Heptadecenoic acid",0.008,g,
"Hexadecenoic acid",0.186,g,
"Octadecenoic acid",1.621,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.026,g,
"Trans-hexadecenoic acid",0.006,g,
"Trans-octadecenoic acid",0.069,g,
"Polyunsaturated fatty acids",1.681,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.012,g,
"Linoleic acid n-6 (LA)",0.63,g,
"Docosahexaenoic n-3 acid (DHA)",0.007,g,
"Docosapentaenoic n-3 acid (DPA)",0.012,g,
"Docosatetraenoic acid",0.025,g,
"Eicosadienoic acid",0.024,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.024,g,
"Eicosapentaenoic n-3 acid (EPA)",0.006,g,
"Eicosatetraenoic acid",0.09,g,
"Octadecadienoic CLAs acid",0.013,g,
"Octadecadienoic acid",0.74,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.037,g,
"Trans-octadecadienoic acid",0.018,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.093,g,
"Fatty acids, total trans-monoenoic",0.076,g,
"Fatty acids, total trans-polyenoic",0.018,g,
"Cholesterol",139.82,mg,47 %
"Phytosterols",0.45,mg,
"Alcohol, ethyl",0,g,
"Ash",3.82,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",304.26,g,
