Ingredient,Amount,Unit,Description
"Unsweetened applesauce",61,g,"1/4 cup"
"Unsweetened vanilla almond milk",60,g,"1/4 cup"
"Honey",11,g,"1/2 tbsp"
"Vanilla extract",2.5,g,"1/2 tsp"
"Almond extract",2.5,g,"1/2 tsp"
"Salt",1.5,g,"1/4 tsp"
"Casein protein powder, unflavored",60,g,"2 scoop"
"Chickpeas, drained and rinsed",127,g,"1/2 15.5oz can"
"Almond butter",32,g,"2 tbsp"
"Banana, overripe",110,g,"1 medium"
"Whey protein powder, unflavored",30,g,"1 scoop"
"Liquid stevia or monk fruit",2.5,g,"1/2 tsp"
"Almond extract",2.5,g,"1/2 tsp"
"Salt",0.75,g,"1/8 tsp"
"Extra virgin coconut oil",48,g,"3.5 tbsp"
"Cocoa powder",43,g,"1/2 cup"
"Honey",10,g,"1/2 tbsp"
"Liquid stevia or monk fruit",2.5,g,"1/2 tsp"
"Almond extract",3,g,"1/2 tsp"
"Salt",0,g,"Small pinch"
Servings,12
