Ingredient,Amount,Unit,Description
"Carrots, raw",454,g,"1 pound"
"Extra virgin olive oil by QO",7,g,"0.5 tbsp (15.0 ml) aprx"
"Salt, table",3,g,"0.5 tsp"
"Honey",42,g,"2 tbsp"
"Natural peanut butter by HAMPTON FARMS",128,g,"8 tbsp"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",60,g,"0.25 cup (240.0 ml) aprx"
"Spices, ground, cinnamon",5,g,"2 tsp"
"Spices, ground, ginger",2,g,"1 tsp"
"Vanilla extract",4,g,"1 tsp"
"Cereals, Dry, Quick Oats, QUAKER",40,g,"0.5 cup"
Servings,28
