Nutrient,Amount,Unit,DV
Calories,504,,
"Vitamin A, RAE",403.79,mcg,45 %
"Carotene, alpha",99.73,mcg,
"Carotene, beta",2265.74,mcg,
"Cryptoxanthin, beta",3.47,mcg,
"Lutein + zeaxanthin",2544.66,mcg,
"Lycopene",0,mcg,
"Retinol",201.96,mcg,
"Thiamin [Vitamin B1]",0.44,mg,37 %
"Riboflavin [Vitamin B2]",0.603,mg,46 %
"Niacin [Vitamin B3]",4.675,mg,29 %
"Pantothenic acid [Vitamin B5]",1.591,mg,32 %
"Vitamin B6",0.726,mg,43 %
"Vitamin B12 [Cobalamin]",0.76,mcg,32 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",189.94,mcg,47 %
"Folate, food",185.18,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",140.2,mg,156 %
"Vitamin D",0.62,mcg,3 %
"Vitamin D3",0.62,mcg,
"Vitamin E (alpha-tocopherol)",4.89,mg,33 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",4.89,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.7,mg,
"Tocotrienol, alpha",0.2,mg,
"Tocotrienol, beta",0.04,mg,
"Tocotrienol, delta",0.03,mg,
"Tocotrienol, gamma",0.62,mg,
"Vitamin K",194.3,mcg,162 %
"Vitamin K1 [Phylloquinone]",185.6,mcg,
"Vitamin K2 [Menaquinone]",4.8,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",1.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",65.1,mg,12 %
"Calcium",601.18,mg,46 %
"Copper",0.32,mg,36 %
"Fluoride",0.6,mcg,
"Iodine",0,mcg,0 %
"Iron",3.6,mg,20 %
"Magnesium",128.66,mg,31 %
"Manganese",2.426,mg,105 %
"Phosphorus",577.08,mg,46 %
"Potassium",853.19,mg,18 %
"Selenium",33.1,mcg,60 %
"Sodium",1282.51,mg,56 %
"Zinc",4.63,mg,42 %
"Protein",25.2,g,50 %
"Alanine",0.975,g,
"Arginine",1.109,g,
"Aspartic acid",2.041,g,
"Cystine",0.181,g,
"Cysteine",0.01,g,
"Glutamic acid",4.7,g,
"Glycine",0.773,g,
"Histidine",0.561,g,49 %
"Hydroxyproline",0,g,
"Isoleucine",1.165,g,75 %
"Leucine",1.835,g,54 %
"Lysine",1.163,g,37 %
"Methionine",0.505,g,
"Phenylalanine",1.074,g,
"Proline",2.056,g,
"Serine",0.941,g,
"Threonine",0.998,g,61 %
"Tryptophan",0.443,g,109 %
"Tyrosine",0.977,g,
"Valine",1.405,g,72 %
"Phenylalanine + Tyrosine",2.051,g,76 %
"Methionine + Cysteine",0.515,g,33 %
"Carbohydrate",57.43,g,21 %
"Fiber",10.59,g,38 %
"Starch",33.54,g,
"Sugars",6.35,g,
"Fructose",2.21,g,
"Galactose",0.06,g,
"Glucose",2.13,g,
"Lactose",1.21,g,
"Maltose",0,g,
"Sucrose",0.43,g,
"Net carbs",46.84,g,
"0.09 g",0.91 g,undefined,10.51
"Fat",21.917,g,28 %
"Saturated fatty acids",11.307,g,57 %
"Butanoic acid",0.361,g,
"Decanoic acid",0.483,g,
"Docosanoic acid",0.008,g,
"Dodecanoic acid",0.535,g,
"Eicosanoic acid",0.035,g,
"Heptadecanoic acid",0.108,g,
"Hexadecanoic acid",5.228,g,
"Hexanoic acid",0.306,g,
"Octadecanoic acid",1.975,g,
"Octanoic acid",0.193,g,
"Pentadecanoic acid",0.182,g,
"Tetracosanoic acid",0.012,g,
"Tetradecanoic acid",1.724,g,
"Monounsaturated fatty acids",6.04,g,
"Cis-hexadecenoic acid",0.232,g,
"Cis-octadecenoic acid",4.237,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.041,g,
"Heptadecenoic acid",0.035,g,
"Hexadecenoic acid",0.288,g,
"Octadecenoic acid",4.75,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.17,g,
"Trans-hexadecenoic acid",0.059,g,
"Trans-octadecenoic acid",0.467,g,
"Polyunsaturated fatty acids",1.649,g,
"α-linolenic acid n-3 (ALA)",0.07,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.004,g,
"Linoleic acid n-6 (LA)",0.89,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0.011,g,
"Docosatetraenoic acid",0.006,g,
"Eicosadienoic acid",0.02,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.02,g,
"Eicosapentaenoic n-3 acid (EPA)",0.006,g,
"Eicosatetraenoic acid",0.031,g,
"Octadecadienoic CLAs acid",0.095,g,
"Octadecadienoic acid",1.19,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.32,g,
"Trans-octadecadienoic acid",0.121,g,
"Trans-octadecatrienoic acid",0.002,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",57.02,mg,19 %
"Alcohol, ethyl",0,g,
"Ash",4.49,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",403.17,g,
