Ingredient,Amount,Unit,Description
"Onions, raw",70,g,"1 small"
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"1 can drained"
"Minced garlic by STONEMILL",15,g,"3 tsp"
"Nonfat cottage cheese by FRESH & EASY",57,g,"0.25 cup"
"Salsa",28,g,"2 tbsp"
"Hot sauce by LOUISIANA",15,g,"3 tsp (5.0 ml) aprx"
"Lemon juice from concentrate, REAL LEMON, bottled",15,g,"1 tbsp"
"Spices, paprika",2,g,"1 tsp"
"Cumin ground by ROUNDY'S",3,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Bread, whole wheat",144,g,"6 small or thin/very thin slice"
Servings,3
