Ingredient,Amount,Unit,Description
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"1 can drained"
"Natural peanut butter by HAMPTON FARMS",32,g,"2 tbsp"
"Bananas, raw, overripe",330,g,"3 Banana"
"Sugar substitute, liquid, stevia",5,g,"1 teaspoon"
"Pure almond extract by FIRST STREET",2,g,"0.5 tsp (1.2 ml) aprx"
"Spices, ground, cinnamon",1,g,"0.5 tsp"
"Salt, table",2,g,"0.25 tsp"
"Peanut butter powder by PBFIT",60,g,"10 tbsp"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",58,g,"2 scoop | about"
"Unflavored Casein Protein Powder by PROMIX",58,g,"2 serving"
"Organic oat flour by The Hain Celestial Group, Inc.",60,g,"0.66 cup"
Servings,40
