Ingredient,Amount,Unit,Description
"Whey protein powder, chocolate",120,g,"4 scoop"
"Almond flour",56,g,"1/2 cup"
"Cocoa powder",20,g,"1/4 cup"
"Baking powder",12,g,"2 tsp"
"Cinnamon",3,g,"1 tsp"
"Salt",1.5,g,"1/4 tsp"
"Unsweetened applesauce",240,g,"1 cup"
"Egg",100,g,"2 large"
"Vanilla extract",10,g,"2 tsp"
"Allulose",100,g,"1/2 cup"
"Plain nonfat greek yogurt",113,g,"1/2 cup"
"Whey protein powder, chocolate",60,g,"2 scoop"
"Cocoa powder",20,g,"1/4 cup"
"Vanilla extract",10,g,"2 tsp"
"Liquid monk fruit",5,g,"1 tsp"
Servings,4
