Nutrient,Amount,Unit,DV
Calories,1981,,
"Vitamin A, RAE",2777.12,mcg,309 %
"Carotene, alpha",1379.22,mcg,
"Carotene, beta",25052.72,mcg,
"Cryptoxanthin, beta",5846.47,mcg,
"Lutein + zeaxanthin",3262.7,mcg,
"Lutein",347.23,mcg,
"Lycopene",1.24,mcg,
"Retinol",387.24,mcg,
"Zeaxanthin",345.69,mcg,
"cis-Lutein/Zeaxanthin",86.04,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",1.373,mg,114 %
"Riboflavin [Vitamin B2]",3.011,mg,232 %
"Niacin [Vitamin B3]",25.619,mg,160 %
"Pantothenic acid [Vitamin B5]",8.002,mg,160 %
"Vitamin B6",3.37,mg,198 %
"Vitamin B12 [Cobalamin]",3.52,mcg,147 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",380.14,mcg,95 %
"Folate, food",365.2,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",292.3,mg,325 %
"Vitamin D",4.89,mcg,24 %
"Vitamin D2",0,mcg,
"Vitamin D3",3.73,mcg,
"Vitamin E (alpha-tocopherol)",20.33,mg,136 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",20.33,mg,
"Tocopherol, beta",0.16,mg,
"Tocopherol, delta",0.02,mg,
"Tocopherol, gamma",1.57,mg,
"Tocotrienol, alpha",0.28,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.08,mg,
"Vitamin K",228.8,mcg,191 %
"Vitamin K1 [Phylloquinone]",213.3,mcg,
"Vitamin K2 [Menaquinone]",13.6,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",14.5,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",836.4,mg,152 %
"Calcium",1251.96,mg,96 %
"Copper",1.88,mg,209 %
"Fluoride",38,mcg,
"Iodine",74.12,mcg,49 %
"Iron",15.76,mg,88 %
"Magnesium",624.51,mg,149 %
"Manganese",5.324,mg,231 %
