Nutrient,Amount,Unit,DV
Calories,265,,
"Vitamin A, RAE",150.32,mcg,17 %
"Carotene, alpha",113.08,mcg,
"Carotene, beta",1456.81,mcg,
"Cryptoxanthin, beta",294.05,mcg,
"Lutein + zeaxanthin",213.78,mcg,
"Lycopene",2573.03,mcg,
"Retinol",11.72,mcg,
"Thiamin [Vitamin B1]",0.171,mg,14 %
"Riboflavin [Vitamin B2]",0.226,mg,17 %
"Niacin [Vitamin B3]",2.33,mg,15 %
"Pantothenic acid [Vitamin B5]",0.716,mg,14 %
"Vitamin B6",0.529,mg,31 %
"Vitamin B12 [Cobalamin]",0.16,mcg,7 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",113.15,mcg,28 %
"Folate, food",112.4,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",97.5,mg,108 %
"Vitamin D",0.04,mcg,0 %
"Vitamin D3",0.04,mcg,
"Vitamin E (alpha-tocopherol)",3.21,mg,21 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.21,mg,
"Tocopherol, beta",0.03,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.1,mg,
"Tocotrienol, alpha",0.01,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",27.9,mcg,23 %
"Vitamin K1 [Phylloquinone]",23.4,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",23.7,mg,4 %
"Calcium",114.49,mg,9 %
"Copper",0.35,mg,39 %
"Fluoride",0.3,mcg,
"Iodine",0,mcg,0 %
"Iron",1.77,mg,10 %
"Magnesium",61.02,mg,15 %
"Manganese",1.023,mg,44 %
"Phosphorus",170.7,mg,14 %
"Potassium",826.55,mg,18 %
"Selenium",4.19,mcg,8 %
"Sodium",501.07,mg,22 %
"Zinc",1.3,mg,12 %
"Protein",9.11,g,18 %
"Alanine",0.356,g,
"Arginine",0.622,g,
"Aspartic acid",1.047,g,
"Cystine",0.091,g,
"Cysteine",0,g,
"Glutamic acid",1.504,g,
"Glycine",0.287,g,
"Histidine",0.21,g,18 %
"Hydroxyproline",0,g,
"Isoleucine",0.355,g,23 %
"Leucine",0.582,g,17 %
"Lysine",0.523,g,17 %
"Methionine",0.115,g,
"Phenylalanine",0.409,g,
"Proline",0.408,g,
"Serine",0.438,g,
"Threonine",0.313,g,19 %
"Tryptophan",0.088,g,22 %
"Tyrosine",0.227,g,
"Valine",0.399,g,20 %
"Phenylalanine + Tyrosine",0.636,g,24 %
"Methionine + Cysteine",0.115,g,7 %
"Carbohydrate",34.06,g,12 %
"Fiber",11.32,g,40 %
"Starch",0,g,
"Sugars",13.85,g,
"Fructose",3.83,g,
"Galactose",0,g,
"Glucose",3.87,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.67,g,
"Net carbs",22.74,g,
"0.01 g",,undefined,0.00
"Fat",11.963,g,15 %
"Saturated fatty acids",2.551,g,13 %
"Butanoic acid",0.067,g,
"Decanoic acid",0.171,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0.1,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.662,g,
"Hexanoic acid",0.05,g,
"Octadecanoic acid",0.172,g,
"Octanoic acid",0.047,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.242,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",6.28,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0.005,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.045,g,
"Octadecenoic acid",0.738,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",1.758,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.858,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.111,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Cholesterol",8.34,mg,3 %
"Phytosterols",14.14,mg,
"Alcohol, ethyl",0,g,
"Ash",2.62,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",355.26,g,
