Nutrient,Amount,Unit,DV
Calories,223,,
"Vitamin A, RAE",61.71,mcg,7 %
"Carotene, alpha",35.33,mcg,
"Carotene, beta",537.68,mcg,
"Cryptoxanthin, beta",125.5,mcg,
"Lutein + zeaxanthin",249.64,mcg,
"Lycopene",1.03,mcg,
"Retinol",10.21,mcg,
"Thiamin [Vitamin B1]",0.121,mg,10 %
"Riboflavin [Vitamin B2]",0.248,mg,19 %
"Niacin [Vitamin B3]",11.224,mg,70 %
"Pantothenic acid [Vitamin B5]",1.754,mg,35 %
"Vitamin B6",1.001,mg,59 %
"Vitamin B12 [Cobalamin]",0.24,mcg,10 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",13.89,mcg,3 %
"Folate, food",13.89,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.3,mg,0 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",1.61,mg,11 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.61,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.27,mg,
"Tocotrienol, alpha",0.09,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.04,mg,
"Vitamin K",21.3,mcg,18 %
"Vitamin K1 [Phylloquinone]",11.8,mcg,
"Vitamin K2 [Menaquinone]",9.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",8,mg,
"Choline",95.7,mg,17 %
"Calcium",112.69,mg,9 %
"Copper",0.06,mg,7 %
"Fluoride",0.1,mcg,
"Iron",2.12,mg,12 %
"Magnesium",40.47,mg,10 %
"Manganese",0.195,mg,8 %
"Phosphorus",256.66,mg,21 %
"Potassium",505.72,mg,11 %
"Selenium",26.59,mcg,48 %
"Sodium",502.56,mg,22 %
"Zinc",0.96,mg,9 %
"Protein",30.69,g,61 %
"Alanine",1.512,g,
"Arginine",1.785,g,
"Aspartic acid",2.489,g,
"Cystine",0.275,g,
"Glutamic acid",3.879,g,
"Glycine",1.157,g,
"Histidine",0.96,g,84 %
"Hydroxyproline",0,g,
"Isoleucine",1.273,g,82 %
"Leucine",2.147,g,63 %
"Lysine",2.48,g,80 %
"Methionine",0.67,g,
"Phenylalanine",1.052,g,
"Proline",0.882,g,
"Serine",0.991,g,
"Threonine",1.162,g,71 %
"Tryptophan",0.325,g,80 %
"Tyrosine",0.933,g,
"Valine",1.35,g,69 %
"Phenylalanine + Tyrosine",1.985,g,74 %
"Methionine + Cysteine",0.67,g,43 %
"Carbohydrate",10.65,g,4 %
"Fiber",2.56,g,9 %
"Sugars",0.3,g,
"Fructose",0.15,g,
"Galactose",0,g,
"Glucose",0.06,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.06,g,
"Net carbs",8.09,g,
"0.04 g",0.38 g,undefined,8.47
"Fat",6.404,g,8 %
"Saturated fatty acids",2.377,g,12 %
"Butanoic acid",0,g,
"Decanoic acid",0.021,g,
"Docosanoic acid",0.005,g,
"Dodecanoic acid",0.009,g,
"Eicosanoic acid",0.003,g,
"Heptadecanoic acid",0.003,g,
"Hexadecanoic acid",0.501,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.162,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0.003,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.017,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",0.856,g,
"Cis-hexadecenoic acid",0.094,g,
"Cis-octadecenoic acid",0.729,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.011,g,
"Heptadecenoic acid",0.002,g,
"Hexadecenoic acid",0.096,g,
"Octadecenoic acid",0.741,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.003,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.007,g,
"Polyunsaturated fatty acids",0.701,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.007,g,
"Linoleic acid n-6 (LA)",0.36,g,
"Docosahexaenoic n-3 acid (DHA)",0.005,g,
"Docosapentaenoic n-3 acid (DPA)",0.007,g,
"Docosatetraenoic acid",0.015,g,
"Eicosadienoic acid",0.014,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.014,g,
"Eicosapentaenoic n-3 acid (EPA)",0.003,g,
"Eicosatetraenoic acid",0.054,g,
"Octadecadienoic CLAs acid",0.001,g,
"Octadecadienoic acid",0.565,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.033,g,
"Trans-octadecadienoic acid",0.001,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.008,g,
"Fatty acids, total trans-monoenoic",0.007,g,
"Fatty acids, total trans-polyenoic",0.001,g,
"Cholesterol",86.53,mg,29 %
"Phytosterols",5.26,mg,
"Alcohol, ethyl",0,g,
"Ash",2.44,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",84.28,g,
