Ingredient,Amount,Unit,Description
"Sweet potato, unprepared, raw",130,g,"1 medium"
"Extra virgin olive oil by QO",2,g,"1/2 tsp"
"Spices, garlic powder",1,g,"1/2 tsp"
"Spices, onion powder",1,g,"1/2 tsp"
"Spices, paprika",1,g,"1/4 tsp"
"Spices, black, pepper",1,g,"1/4 tsp, ground"
"Salt, table",1,g,"1/8 tsp"
"Fish, raw, tilapia",85,g,"3 ounce"
"Extra virgin olive oil by OLIO",2,g,"1/2 tsp"
"Organic oat flour by The Hain Celestial Group, Inc.",6,g,"1 tbsp"
"Spices, dried, thyme",1,g,"1/2 tsp, leaves"
"Spices, chili powder",1,g,"1/2 tsp"
"Lemon pepper by LA CRIOLLA",1,g,"1/4 tsp"
Servings,1
