Nutrient,Amount,Unit,DV
Calories,1224,,
"Vitamin A, RAE",2.55,mcg,0 %
"Carotene, alpha",0.6,mcg,
"Carotene, beta",30.21,mcg,
"Cryptoxanthin, beta",0.21,mcg,
"Lutein + zeaxanthin",56.85,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.428,mg,36 %
"Riboflavin [Vitamin B2]",0.135,mg,10 %
"Niacin [Vitamin B3]",20.122,mg,126 %
"Pantothenic acid [Vitamin B5]",43.959,mg,879 %
"Vitamin B6",12.867,mg,757 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",10.11,mcg,3 %
"Folate, food",10.11,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.7,mg,1 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.58,mg,4 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.58,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.03,mg,
"Tocopherol, gamma",0.73,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",18.8,mcg,16 %
"Vitamin K1 [Phylloquinone]",18.8,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.5,mg,
"Choline",4,mg,1 %
"Calcium",649.28,mg,50 %
"Copper",0.22,mg,24 %
"Fluoride",0.1,mcg,
"Iron",19.2,mg,107 %
"Magnesium",201.97,mg,48 %
"Manganese",0.414,mg,18 %
"Phosphorus",251.03,mg,20 %
"Potassium",2199.99,mg,47 %
"Selenium",1.22,mcg,2 %
"Sodium",1187.05,mg,52 %
"Zinc",4.46,mg,41 %
"Protein",55.67,g,111 %
"Alanine",0.034,g,
"Arginine",0.164,g,
"Aspartic acid",0.105,g,
"Cystine",0.013,g,
"Glutamic acid",0.192,g,
"Glycine",0.038,g,
"Histidine",0.016,g,1 %
"Hydroxyproline",0,g,
"Isoleucine",0.029,g,2 %
"Leucine",0.051,g,1 %
"Lysine",0.051,g,2 %
"Methionine",0.009,g,
"Phenylalanine",0.036,g,
"Proline",0.11,g,
"Serine",0.028,g,
"Threonine",0.025,g,2 %
"Tryptophan",0.011,g,3 %
"Tyrosine",0.026,g,
"Valine",0.043,g,2 %
"Phenylalanine + Tyrosine",0.062,g,2 %
"Methionine + Cysteine",0.009,g,1 %
"Carbohydrate",85.67,g,31 %
"Fiber",66.96,g,239 %
"Sugars",0.36,g,
"Fructose",0.08,g,
"Galactose",0.01,g,
"Glucose",0.08,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.18,g,
"Net carbs",18.71,g,
"0.02 g",0.00 g,undefined,0.05
"Fat",69.516,g,89 %
"Saturated fatty acids",0.06,g,0 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.002,g,
"Dodecanoic acid",0.007,g,
"Eicosanoic acid",0.001,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.03,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.019,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",12.026,g,
"Cis-octadecenoic acid",0.029,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0.029,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",48.059,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.001,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.001,g,
"Octadecadienoic acid",0.032,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.019,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",8.43,mg,
"Alcohol, ethyl",0,g,
"Ash",3.52,g,
"Caffeine",0,mg,
"Fiber, insoluble",1.1,g,
"Fiber, soluble",6.6,g,
"Theobromine",0,mg,
"Water",119.12,g,
