Food,File,Cost ($),Size (g),Unit Cost ($/g),Score,Glycemic Index,Gluten Free,Vegetarian,Dairy Free,Vegan,Nut Free,Sugar Free,Add Sug per 100 g,Sug Alc per 100 g,Allulose per 100 g,Lactose per 100 g,Gluten Protein %,Soluble Fiber %,Link
Water,water,0.00,1.00,0.00000,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Water, warm",water,0.00,1.00,0.00000,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
Ice,water,0.00,1.00,0.00000,0.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Beer, room temperature",beer,20.27,"4,258.58",0.00476,4.7,100,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,50,0,
Beer,beer,20.27,"4,258.58",0.00476,2.0,100,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,50,0,
Rum,rum,15.00,750.00,0.02000,2.0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Fruit juice, sugar free",fruit-juice-sugar-free,3.74,"1,920.00",0.00195,8.0,44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,https://amzn.to/4dnIjFi
"Lemonade, storebought",lemonadestore100g,1.69,"1,560.00",0.00108,2.1,54,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,11.3,0.0,0.0,0.0,0,0,https://amzn.to/4a5ULZB
White cooking wine,white-wine,3.48,366.80,0.00949,2.1,15,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,0,
"Aquafaba, or water",aquafaba,0.00,1.00,0.00000,5.4,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Aquafaba,aquafaba,0.86,255.00,0.00337,5.4,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
Aquafaba Whipped Cream,whipped-cream,1.53,245.50,0.00623,5.4,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,20.0,0.0,0.0,0,30,/recipes/whipped-cream
"Chickpeas, drained and rinsed",chickpea-drained,0.86,255.00,0.00337,9.7,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,0,30,
