Nutrient,Amount,Unit,DV
Calories,242,,
"Vitamin A, RAE",456.88,mcg,51 %
"Carotene, alpha",6.89,mcg,
"Carotene, beta",4461.82,mcg,
"Cryptoxanthin, beta",71.24,mcg,
"Lutein + zeaxanthin",7601.62,mcg,
"Lycopene",6755.2,mcg,
"Retinol",81.65,mcg,
"Thiamin [Vitamin B1]",0.208,mg,17 %
"Riboflavin [Vitamin B2]",0.244,mg,19 %
"Niacin [Vitamin B3]",4.769,mg,30 %
"Pantothenic acid [Vitamin B5]",0.978,mg,20 %
"Vitamin B6",0.67,mg,39 %
"Vitamin B12 [Cobalamin]",1.68,mcg,70 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",129.97,mcg,32 %
"Folate, food",129.77,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",17.5,mg,19 %
"Vitamin D",0.15,mcg,1 %
"Vitamin D3",0.15,mcg,
"Vitamin E (alpha-tocopherol)",6.35,mg,42 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",6.35,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0.05,mg,
"Tocopherol, gamma",0.33,mg,
"Tocotrienol, alpha",0.05,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",223.5,mcg,186 %
"Vitamin K1 [Phylloquinone]",219.9,mcg,
"Vitamin K2 [Menaquinone]",0.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",66.8,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",155.1,mg,28 %
"Calcium",220.34,mg,17 %
"Copper",0.65,mg,72 %
"Fluoride",0.1,mcg,
"Iodine",0,mcg,0 %
"Iron",3.6,mg,20 %
"Magnesium",108.32,mg,26 %
"Manganese",0.885,mg,38 %
"Phosphorus",460.3,mg,37 %
"Potassium",833.01,mg,18 %
"Selenium",50.33,mcg,92 %
"Sodium",1829.37,mg,80 %
"Zinc",2.34,mg,21 %
"Protein",25.68,g,51 %
"Alanine",1.48,g,
"Arginine",2.456,g,
"Aspartic acid",2.916,g,
"Cystine",0.299,g,
"Cysteine",0,g,
"Glutamic acid",4.796,g,
"Glycine",1.418,g,
"Histidine",0.528,g,46 %
"Hydroxyproline",0,g,
"Isoleucine",1.095,g,71 %
"Leucine",1.996,g,58 %
"Lysine",2.217,g,71 %
"Methionine",0.656,g,
"Phenylalanine",1.095,g,
"Proline",1.156,g,
"Serine",1.018,g,
"Threonine",1.014,g,62 %
"Tryptophan",0.313,g,77 %
"Tyrosine",0.955,g,
"Valine",1.156,g,59 %
"Phenylalanine + Tyrosine",2.05,g,76 %
"Methionine + Cysteine",0.656,g,42 %
"Carbohydrate",21.86,g,8 %
"Fiber",5.17,g,18 %
"Starch",0,g,
"Sugars",6.45,g,
"Fructose",3.29,g,
"Galactose",0,g,
"Glucose",2.87,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.23,g,
"Net carbs",16.69,g,
"0.24 g",0.15 g,undefined,0.62
"Fat",7.43,g,10 %
"Saturated fatty acids",1.202,g,6 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0.009,g,
"Eicosanoic acid",0.004,g,
"Heptadecanoic acid",0.018,g,
"Hexadecanoic acid",0.295,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.137,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.011,g,
"Tetracosanoic acid",0.006,g,
"Tetradecanoic acid",0.019,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",4.004,g,
"Cis-hexadecenoic acid",0.024,g,
"Cis-octadecenoic acid",0.18,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.005,g,
"Heptadecenoic acid",0.07,g,
"Hexadecenoic acid",0.032,g,
"Octadecenoic acid",0.246,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0.005,g,
"Trans-octadecenoic acid",0.012,g,
"Polyunsaturated fatty acids",1.28,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.13,g,
"Docosahexaenoic n-3 acid (DHA)",0.106,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.005,g,
"Eicosadienoic acid",0.01,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.009,g,
"Eicosapentaenoic n-3 acid (EPA)",0.103,g,
"Eicosatetraenoic acid",0.051,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.377,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.068,g,
"Trans-octadecadienoic acid",0.009,g,
"Fatty acids, total trans",0.027,g,
"Fatty acids, total trans-monoenoic",0.017,g,
"Fatty acids, total trans-polyenoic",0.009,g,
"Cholesterol",190.51,mg,64 %
"Phytosterols",3.14,mg,
"Alcohol, ethyl",0,g,
"Ash",6.59,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",302.5,g,
