Nutrient,Amount,Unit,DV
Calories,599,,
"Vitamin A, RAE",130,mcg,14 %
"Carotene, alpha",1,mcg,
"Carotene, beta",27,mcg,
"Cryptoxanthin, alpha",0.82,mcg,
"Cryptoxanthin, beta",3,mcg,
"Lutein + zeaxanthin",39,mcg,
"Lutein",14.46,mcg,
"Lycopene",0,mcg,
"Retinol",128,mcg,
"Zeaxanthin",14.4,mcg,
"cis-Lutein/Zeaxanthin",3.58,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.093,mg,8 %
"Riboflavin [Vitamin B2]",0.166,mg,13 %
"Niacin [Vitamin B3]",0.483,mg,3 %
"Pantothenic acid [Vitamin B5]",0.336,mg,7 %
"Vitamin B6",0.062,mg,4 %
"Vitamin B12 [Cobalamin]",0.2,mcg,8 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",15,mcg,4 %
"Folate, food",14,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.6,mg,1 %
"Vitamin D",0.5,mcg,2 %
"Vitamin D2",0,mcg,
"Vitamin D3",0.4,mcg,
"Vitamin E (alpha-tocopherol)",1.75,mg,12 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.75,mg,
"Tocopherol, beta",0.03,mg,
"Tocopherol, delta",0.1,mg,
"Tocopherol, gamma",3.68,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",6.4,mcg,5 %
"Vitamin K1 [Phylloquinone]",6.3,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",59.2,mg,11 %
"Calcium",121,mg,9 %
"Copper",0.4,mg,44 %
"Fluoride",2.1,mcg,
"Iodine",3.09,mcg,2 %
"Iron",1.75,mg,10 %
"Magnesium",58,mg,14 %
"Manganese",0.721,mg,31 %
"Phosphorus",199,mg,16 %
"Potassium",337,mg,7 %
"Selenium",10.94,mcg,20 %
"Sodium",434,mg,19 %
"Zinc",1.32,mg,12 %
"Protein",6.68,g,13 %
"Histidine",0.133,g,12 %
"Isoleucine",0.255,g,16 %
"Leucine",0.432,g,13 %
"Lysine",0.291,g,9 %
"Methionine",0.113,g,
"Phenylalanine",0.281,g,
"Threonine",0.221,g,14 %
"Tryptophan",0.076,g,19 %
"Valine",0.314,g,16 %
"Phenylalanine + Tyrosine",0.494,g,18 %
"Methionine + Cysteine",0.22,g,14 %
"Arginine",0.343,g,
"Cystine",0.077,g,
"Cysteine",0.03,g,
"Glutamic acid",1.19,g,
"Glycine",0.212,g,
"Proline",0.4,g,
"Tyrosine",0.213,g,
"Alanine",0.244,g,
"Aspartic acid",0.475,g,
"Hydroxyproline",0,g,
"Carbohydrate",82.94,g,30 %
"Fiber",4.89,g,17 %
"Starch",0.31,g,
"Sugars",58.06,g,
"Fructose",0.08,g,
"Galactose",0,g,
"Glucose",0.11,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",37.59,g,
"Net carbs",78.05,g,
"Fat",29.204,g,37 %
"Saturated fatty acids",11.787,g,59 %
"Butanoic acid",0.488,g,
"Decanoic acid",0.378,g,
"Docosanoic acid",0.024,g,
"Dodecanoic acid",0.394,g,
"Eicosanoic acid",0.071,g,
"Heptadecanoic acid",0.082,g,
"Hexadecanoic acid",4.509,g,
"Hexanoic acid",0.305,g,
"Octadecanoic acid",2.109,g,
"Octanoic acid",0.177,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",1.173,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",11.787,g,
"Cis-hexadecenoic acid",0.151,g,
"Cis-octadecenoic acid",6.941,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.124,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.265,g,
"Octadecenoic acid",10.89,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.001,g,
"Trans-octadecenoic acid",0.426,g,
"Polyunsaturated fatty acids",4.309,g,
"α-linolenic acid n-3 (ALA)",0.684,g,
"γ-linolenic acid n-6 (GLA)",0.001,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",1.705,g,
"Docosahexaenoic n-3 acid (DHA)",0.004,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-6 acid",0.001,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.014,g,
"Octadecadienoic CLAs acid",0.038,g,
"Octadecadienoic acid",3.323,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.834,g,
"Trans,trans-octadecadienoic acid",0.026,g,
"Fatty acids, total trans",0.261,g,
"Fatty acids, total trans-monoenoic",0.214,g,
"Fatty acids, total trans-polyenoic",0.047,g,
"Beta-sitosterol",37,mg,
"Campesterol",17,mg,
"Cholesterol",95,mg,32 %
"Stigmasterol",0,mg,
"25-hydroxycholecalciferol",0.04,mcg,
"Alcohol, ethyl",0.4,g,
"Ash",0.85,g,
"Caffeine",17,mg,
"Choline, free",0.04,mg,
"Choline, from glycerophosphocholine",0.01,mg,
"Choline, from phosphocholine",19.43,mg,
"Choline, from phosphotidyl choline",0.01,mg,
"Choline, from sphingomyelin",1.58,mg,
"Nitrogen",0.13,g,
"PUFA 18:2 c",0.09,g,
"PUFA 18:3 c",0,g,
"PUFA 20:3 c",0,g,
"Serine",0.319,g,
"Theobromine",158,mg,
"Trans-Octadecadienoic acid",0.042,g,
"Water",53.2,g,
