Nutrient,Amount,Unit,DV
Calories,479,,
"Vitamin A, RAE",467.17,mcg,52 %
"Carotene, alpha",93.84,mcg,
"Carotene, beta",4776.02,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",1568.67,mcg,
"Lycopene",1929.75,mcg,
"Retinol",45.96,mcg,
"Thiamin [Vitamin B1]",0.34,mg,28 %
"Riboflavin [Vitamin B2]",0.712,mg,55 %
"Niacin [Vitamin B3]",10.654,mg,67 %
"Pantothenic acid [Vitamin B5]",0.686,mg,14 %
"Vitamin B6",1.3,mg,76 %
"Vitamin B12 [Cobalamin]",1.41,mcg,59 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",207.63,mcg,52 %
"Folate, food",129.5,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",132.3,mg,147 %
"Vitamin D",0.11,mcg,1 %
"Vitamin D3",0.11,mcg,
"Vitamin E (alpha-tocopherol)",2.65,mg,18 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.65,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.32,mg,
"Tocotrienol, alpha",0.02,mg,
"Tocotrienol, beta",0.05,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.05,mg,
"Vitamin K",82.7,mcg,69 %
"Vitamin K1 [Phylloquinone]",71.1,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",16.2,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",114.6,mg,21 %
"Calcium",240.88,mg,19 %
"Copper",0.4,mg,44 %
"Fluoride",0.4,mcg,
"Iodine",0,mcg,0 %
"Iron",4.06,mg,23 %
"Magnesium",101.1,mg,24 %
"Manganese",0.857,mg,37 %
"Phosphorus",518.08,mg,41 %
"Potassium",1129.52,mg,24 %
"Selenium",41.26,mcg,75 %
"Sodium",1337.25,mg,58 %
"Zinc",4.23,mg,38 %
"Protein",41.71,g,83 %
"Alanine",2.211,g,
"Arginine",2.713,g,
"Aspartic acid",4.031,g,
"Cystine",0.454,g,
"Cysteine",0.02,g,
"Glutamic acid",6.694,g,
"Glycine",1.634,g,
"Histidine",1.152,g,101 %
"Hydroxyproline",0,g,
"Isoleucine",1.882,g,121 %
"Leucine",3.323,g,97 %
"Lysine",3.518,g,113 %
"Methionine",1.025,g,
"Phenylalanine",1.706,g,
"Proline",1.83,g,
"Serine",1.876,g,
"Threonine",1.815,g,111 %
"Tryptophan",0.458,g,112 %
"Tyrosine",1.445,g,
"Valine",2.002,g,102 %
"Phenylalanine + Tyrosine",3.151,g,117 %
"Methionine + Cysteine",1.045,g,67 %
"Carbohydrate",34.08,g,12 %
"Fiber",11.66,g,42 %
"Starch",0,g,
"Sugars",10.47,g,
"Fructose",0.45,g,
"Galactose",0,g,
"Glucose",0.22,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0,g,
"Net carbs",22.42,g,
"0.08 g",1.16 g,undefined,14.67
"Fat",20.364,g,26 %
"Saturated fatty acids",6.376,g,32 %
"Butanoic acid",0.202,g,
"Decanoic acid",0.522,g,
"Docosanoic acid",0.012,g,
"Dodecanoic acid",0.308,g,
"Eicosanoic acid",0.005,g,
"Heptadecanoic acid",0.008,g,
"Hexadecanoic acid",2.694,g,
"Hexanoic acid",0.15,g,
"Octadecanoic acid",0.798,g,
"Octanoic acid",0.143,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0.005,g,
"Tetradecanoic acid",0.755,g,
"Monounsaturated fatty acids",4.824,g,
"Cis-hexadecenoic acid",0.316,g,
"Cis-octadecenoic acid",1.876,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.024,g,
"Heptadecenoic acid",0.005,g,
"Hexadecenoic acid",0.434,g,
"Octadecenoic acid",3.35,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.012,g,
"Trans-hexadecenoic acid",0.005,g,
"Trans-octadecenoic acid",0.02,g,
"Polyunsaturated fatty acids",2.682,g,
"α-linolenic acid n-3 (ALA)",0.05,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.012,g,
"Linoleic acid n-6 (LA)",1.12,g,
"Docosahexaenoic n-3 acid (DHA)",0.012,g,
"Docosapentaenoic n-3 acid (DPA)",0.012,g,
"Docosatetraenoic acid",0.032,g,
"Eicosadienoic acid",0.027,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.027,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.135,g,
"Octadecadienoic CLAs acid",0.008,g,
"Octadecadienoic acid",1.896,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.22,g,
"Trans-octadecadienoic acid",0.008,g,
"Fatty acids, total trans",0.032,g,
"Fatty acids, total trans-monoenoic",0.02,g,
"Fatty acids, total trans-polyenoic",0.008,g,
"Cholesterol",166.7,mg,56 %
"Alcohol, ethyl",0,g,
"Ash",3.71,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",434.49,g,
