Nutrient,Amount,Unit,DV
Calories,533,,
"Vitamin A, RAE",1570.8,mcg,175 %
"Carotene, alpha",84.65,mcg,
"Carotene, beta",16570.9,mcg,
"Cryptoxanthin, alpha",13.08,mcg,
"Cryptoxanthin, beta",13.08,mcg,
"Lutein + zeaxanthin",28691.96,mcg,
"Lutein",231.38,mcg,
"Lycopene",0,mcg,
"Retinol",180.07,mcg,
"Zeaxanthin",230.37,mcg,
"cis-Lutein/Zeaxanthin",57.34,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.985,mg,82 %
"Riboflavin [Vitamin B2]",1.146,mg,88 %
"Niacin [Vitamin B3]",5.337,mg,33 %
"Pantothenic acid [Vitamin B5]",0.765,mg,15 %
"Vitamin B6",1.083,mg,64 %
"Vitamin B12 [Cobalamin]",1.63,mcg,68 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",363.98,mcg,91 %
"Folate, food",332,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",15.6,mg,17 %
"Vitamin D",2.47,mcg,12 %
"Vitamin D2",0,mcg,
"Vitamin D3",2.47,mcg,
"Vitamin E (alpha-tocopherol)",8.35,mg,56 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",8.35,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.32,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",850.3,mcg,709 %
"Vitamin K1 [Phylloquinone]",843.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",267,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",394.6,mg,72 %
"Calcium",404.86,mg,31 %
"Copper",0.64,mg,71 %
"Fluoride",0,mcg,
"Iodine",49.39,mcg,33 %
"Iron",8.3,mg,46 %
"Magnesium",222.51,mg,53 %
"Manganese",2.591,mg,113 %
"Phosphorus",993.98,mg,80 %
"Potassium",1416.46,mg,30 %
"Selenium",65.68,mcg,119 %
"Sodium",2410.83,mg,105 %
"Zinc",4.75,mg,43 %
"Protein",55.08,g,110 %
"Alanine",1.406,g,
"Arginine",2.551,g,
"Aspartic acid",2.967,g,
"Cystine",0.151,g,
"Cysteine",0.47,g,
"Glutamic acid",3.89,g,
"Glycine",1.156,g,
"Histidine",0.546,g,48 %
"Hydroxyproline",0,g,
"Isoleucine",1.14,g,73 %
"Leucine",1.901,g,55 %
"Lysine",1.773,g,57 %
"Methionine",0.612,g,
"Phenylalanine",1.423,g,
"Proline",1.337,g,
"Serine",1.578,g,
"Threonine",1.291,g,79 %
"Tryptophan",0.449,g,110 %
"Tyrosine",1.15,g,
"Valine",1.393,g,71 %
"Phenylalanine + Tyrosine",2.573,g,95 %
"Methionine + Cysteine",1.082,g,70 %
"Carbohydrate",44.55,g,16 %
"Fiber",12.85,g,46 %
"Starch",0,g,
"Sugars",4.69,g,
"Fructose",0.41,g,
"Galactose",0,g,
"Glucose",0.74,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.54,g,
"Net carbs",31.7,g,
"",1.50 g,undefined,
"Fat",17.267,g,22 %
"Saturated fatty acids",4.937,g,25 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",3.344,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",1.209,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.095,g,
"Monounsaturated fatty acids",6.054,g,
"Cis-hexadecenoic acid",0.239,g,
"Cis-octadecenoic acid",3.37,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Hexadecenoic acid",0.117,g,
"Octadecenoic acid",1.836,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",3.331,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Linoleic acid n-6 (LA)",1.47,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic n-6 acid",0.02,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.351,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.197,g,
"Fatty acids, total trans",0,g,
"Cholesterol",448.12,mg,149 %
"25-hydroxycholecalciferol",0.56,mcg,
"Alcohol, ethyl",0,g,
"Ash",8.02,g,
"Caffeine",0,mg,
"Choline, free",0.6,mg,
"Choline, from glycerophosphocholine",0.2,mg,
"Choline, from phosphocholine",310.85,mg,
"Choline, from phosphotidyl choline",0.2,mg,
"Choline, from sphingomyelin",25.25,mg,
"Nitrogen",2,g,
"PUFA 18:2 c",1.47,g,
"PUFA 18:3 c",0.01,g,
"PUFA 20:3 c",0.02,g,
"Theobromine",0,mg,
"Water",437.76,g,
