Nutrient,Amount,Unit,DV
Calories,310,,
"Vitamin A, RAE",581.68,mcg,65 %
"Carotene, alpha",88.88,mcg,
"Carotene, beta",4126.58,mcg,
"Cryptoxanthin, beta",358.16,mcg,
"Lutein + zeaxanthin",7294.43,mcg,
"Lycopene",0,mcg,
"Retinol",216,mcg,
"Thiamin [Vitamin B1]",0.394,mg,33 %
"Riboflavin [Vitamin B2]",0.32,mg,25 %
"Niacin [Vitamin B3]",3.367,mg,21 %
"Pantothenic acid [Vitamin B5]",0.61,mg,12 %
"Vitamin B6",0.692,mg,41 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",142.8,mcg,36 %
"Folate, food",118.4,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",36.3,mg,40 %
"Vitamin D",2.4,mcg,12 %
"Vitamin E (alpha-tocopherol)",8.83,mg,59 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",8.83,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.08,mg,
"Tocotrienol, alpha",0.04,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",211,mcg,176 %
"Vitamin K1 [Phylloquinone]",210.9,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",66.8,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",39.7,mg,7 %
"Calcium",566.87,mg,44 %
"Copper",0.58,mg,64 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",3.76,mg,21 %
"Magnesium",237.88,mg,57 %
"Manganese",2.258,mg,98 %
"Phosphorus",422.83,mg,34 %
"Potassium",1138.06,mg,24 %
"Selenium",4.84,mcg,9 %
"Sodium",223.87,mg,10 %
"Zinc",2.68,mg,24 %
"Protein",11.29,g,23 %
"Alanine",0.545,g,
"Arginine",1.414,g,
"Aspartic acid",1.349,g,
"Cystine",0.173,g,
"Cysteine",0.02,g,
"Glutamic acid",2.051,g,
"Glycine",0.573,g,
"Histidine",0.342,g,30 %
"Hydroxyproline",0,g,
"Isoleucine",0.409,g,26 %
"Leucine",0.717,g,21 %
"Lysine",0.507,g,16 %
"Methionine",0.235,g,
"Phenylalanine",0.529,g,
"Proline",0.573,g,
"Serine",0.554,g,
"Threonine",0.45,g,28 %
"Tryptophan",0.153,g,37 %
"Tyrosine",0.419,g,
"Valine",0.567,g,29 %
"Phenylalanine + Tyrosine",0.948,g,35 %
"Methionine + Cysteine",0.255,g,16 %
"Carbohydrate",44.43,g,16 %
"Fiber",7.38,g,26 %
"Starch",0,g,
"Sugars",25.37,g,
"Fructose",2.27,g,
"Galactose",0,g,
"Glucose",2.05,g,
"Lactose",0.01,g,
"Maltose",0.01,g,
"Sucrose",5.63,g,
"Net carbs",37.05,g,
"1.75 g",5.77 g,undefined,3.30
"Fat",13.062,g,17 %
"Saturated fatty acids",1.297,g,6 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.024,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0.063,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.63,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.252,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0.011,g,
"Tetradecanoic acid",0.002,g,
"Monounsaturated fatty acids",2.589,g,
"Cis-octadecenoic acid",1.01,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.025,g,
"Hexadecenoic acid",0.006,g,
"Octadecenoic acid",1.107,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",8.417,g,
"α-linolenic acid n-3 (ALA)",1.75,g,
"γ-linolenic acid n-6 (GLA)",0.27,g,
"Linoleic acid n-6 (LA)",5.5,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0.041,g,
"Octadecadienoic acid",5.561,g,
"Octadecatetraenoic acid",0.124,g,
"Octadecatrienoic acid",2.077,g,
"Fatty acids, total trans",0,g,
"Cholesterol",0,mg,0 %
"Alcohol, ethyl",0,g,
"Ash",2.36,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",443.35,g,
