Ingredient,Amount,Unit,Description
"Sweet potato, unprepared, raw",390,g,"3 medium"
"Extra virgin olive oil by QO",7,g,"0.5 tbsp"
"Spices, paprika",2,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Extra hot red pepper flakes by DOC MEYERS BRAND",0,g,"0.25 tsp"
"Salt, table",2,g,"0.25 tsp"
"Spices, black, pepper",1,g,"0.25 tsp, ground"
"Onions, raw",70,g,"1 small"
"Peppers, raw, red, sweet",74,g,"1 small"
"Soy sauce made from soy and wheat (shoyu), low sodium",5,g,"1 tsp"
"Extra virgin olive oil by OLIO",5,g,"1 tsp"
"Minced garlic by STONEMILL",10,g,"2 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Table salt by FIRST STREET",2,g,"0.25 tsp"
"Ground black pepper by MEMBER'S MARK",1,g,"1/4 tsp"
"Spices, dried, parsley",2,g,"1 tbsp"
Servings,4
