Ingredient,Amount,Unit,Description
"Potato",907,g,"2 lb"
"Extra virgin olive oil",15,g,"1 tbsp"
"Chili powder",10,g,"1 tbsp"
"Garlic powder",6,g,"2 tsp"
"Turmeric, ground",3,g,"1 tsp"
"Cumin, ground",3,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Parsley, dried",3,g,"1 tbsp"
"Boneless skinless chicken breast",907,g,"2 lb"
"Extra virgin olive oil",15,g,"1 tbsp"
"Chili powder",10,g,"1 tbsp"
"Garlic powder",6,g,"2 tsp"
"Turmeric, ground",3,g,"1 tsp"
"Cumin, ground",3,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Parsley, dried",3,g,"1 tbsp"
Servings,6
