Ingredient,Amount,Unit,Description
"Acorn squash",431,g,"1 medium"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
"Minced garlic",45,g,"2 tbsp"
"Basil, dried",4,g,"6 tsp, leaves"
"Onion powder",7,g,"3 tsp"
"Grated parmesan cheese",8,g,"3 tsp"
"Lemon pepper",8,g,"3 tsp"
"Black pepper, ground",2,g,"1 tsp, ground"
"Lemon juice",15,g,"1 tbsp"
"Boneless skinless chicken breast",907,g,"2 pound"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
"Balsamic vinegar",16,g,"1 tbsp"
"Lemon juice",15,g,"1 tbsp"
"Basil, dried",4,g,"6 tsp"
"Thyme, dried",6,g,"6 tsp, leaves"
"Onion powder",11,g,"3 tsp"
"Garlic powder",6,g,"3 tsp"
"Salt",6,g,"1 tsp"
"Black pepper, ground",3,g,"1 tsp"
Servings,5
