Ingredient,Amount,Unit,Description
"Extra virgin olive oil by QO",14,g,"1 tbsp"
"Minced garlic by STONEMILL",15,g,"1 tbsp"
"Onions, raw",140,g,"2 small"
"Salt, table",6,g,"1 tsp"
"Spinach, unprepared, chopped or leaf, frozen",454,g,"16 ounce"
"Cucumber, raw",400,g,"2 English"
"Spices, dried, basil",2,g,"1 tbsp, leaves"
"Spices, onion powder",7,g,"1 tbsp"
"Spices, garlic powder",9,g,"1 tbsp"
"Lemon pepper by LA CRIOLLA",3,g,"1 tsp"
"Ground black pepper by Grace Kennedy Co. Ltd",3,g,"1 tsp"
"Lemon juice from concentrate, REAL LEMON, bottled",30,g,"2 tbsp"
"Chicken, raw, ground",590,g,"1.3 pound"
"Extra virgin olive oil by OLIO",14,g,"1 tbsp"
"Minced garlic by MEMBER'S MARK",15,g,"1 tbsp"
"Basil lightly dried by GOURMET GARDEN",2,g,"1 tbsp"
"Onion powder by STONEMILL",7,g,"1 tbsp"
"Garlic powder by EL SABOR",6,g,"1 tbsp"
"Lemon pepper by La Criolla Inc.",3,g,"1 tsp"
"Ground black pepper by Grace Kennedy Co. Ltd",3,g,"1 tsp"
"Lemon juice from concentrate, canned or bottled",30,g,"2 tbsp"
"Cheese, feta",113,g,"4 oz"
Servings,5
