Nutrient,Amount,Unit,DV
Calories,3676,,
"Vitamin A, RAE",7.4,mcg,1 %
"Carotene, alpha",0,mcg,
"Carotene, beta",90.2,mcg,
"Cryptoxanthin, beta",1.4,mcg,
"Lutein + zeaxanthin",776.2,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",4.852,mg,404 %
"Riboflavin [Vitamin B2]",1.55,mg,119 %
"Niacin [Vitamin B3]",31.774,mg,199 %
"Pantothenic acid [Vitamin B5]",7.465,mg,149 %
"Vitamin B6",3.413,mg,201 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",1385.3,mcg,346 %
"Folate, food",1334.1,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",2.5,mg,3 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",5.37,mg,36 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",5.37,mg,
"Tocopherol, beta",0.17,mg,
"Tocopherol, delta",0.49,mg,
"Tocopherol, gamma",6.64,mg,
"Tocotrienol, alpha",0.62,mg,
"Tocotrienol, beta",0.13,mg,
"Tocotrienol, delta",0.08,mg,
"Tocotrienol, gamma",1.88,mg,
"Vitamin K",19.9,mcg,17 %
"Vitamin K1 [Phylloquinone]",15.2,mcg,
"Vitamin K2 [Menaquinone]",1.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",882.6,mg,
"Choline",324,mg,59 %
"Calcium",502.6,mg,39 %
"Copper",6.16,mg,684 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",41.46,mg,230 %
"Magnesium",1563.3,mg,372 %
"Manganese",24.134,mg,1049 %
"Phosphorus",3528.5,mg,282 %
"Potassium",5931.5,mg,126 %
"Selenium",146.65,mcg,267 %
"Sodium",74.1,mg,3 %
"Zinc",29.2,mg,265 %
"Protein",152.6,g,305 %
"Alanine",6.988,g,
"Arginine",10.724,g,
"Aspartic acid",14.81,g,
"Cystine",2.641,g,
"Cysteine",0.65,g,
"Glutamic acid",30.87,g,
"Glycine",6.879,g,
"Histidine",4.189,g,366 %
"Hydroxyproline",0,g,
"Isoleucine",6.516,g,420 %
"Leucine",11.624,g,339 %
"Lysine",8.479,g,273 %
"Methionine",2.54,g,
"Phenylalanine",8.079,g,
"Proline",9.588,g,
"Serine",7.495,g,
"Threonine",5.624,g,344 %
"Tryptophan",1.983,g,486 %
"Tyrosine",4.547,g,
"Valine",8.041,g,410 %
"Phenylalanine + Tyrosine",12.626,g,469 %
"Methionine + Cysteine",5.831,g,376 %
"Carbohydrate",716.64,g,261 %
"Fiber",110.23,g,394 %
"Starch",246.05,g,
"Sugars",8.15,g,
"Fructose",0,g,
"Galactose",0,g,
"Glucose",0,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.92,g,
"Net carbs",606.41,g,
"0.11 g",1.35 g,undefined,12.74
"Fat",32.957,g,42 %
"Saturated fatty acids",5.4,g,27 %
"Butanoic acid",0,g,
"Decanoic acid",0.026,g,
"Docosanoic acid",0.063,g,
"Dodecanoic acid",0.015,g,
"Eicosanoic acid",0.084,g,
"Heptadecanoic acid",0.006,g,
"Hexadecanoic acid",3.021,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.253,g,
"Octanoic acid",0.021,g,
"Pentadecanoic acid",0.008,g,
"Tetracosanoic acid",0.056,g,
"Tetradecanoic acid",0.041,g,
"Monounsaturated fatty acids",8.301,g,
"Cis-hexadecenoic acid",0.006,g,
"Cis-octadecenoic acid",1.455,g,
"Docosenoic acid",0.116,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.162,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.021,g,
"Octadecenoic acid",4.777,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.024,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",13.907,g,
"α-linolenic acid n-3 (ALA)",0.04,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",1.35,g,
"Docosahexaenoic n-3 acid (DHA)",0.066,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.013,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",8.832,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",1.316,g,
"Trans-octadecadienoic acid",0.001,g,
"Trans-octadecatrienoic acid",0,g,
"Uncosapentaenoic acid",0,g,
"Fatty acids, total trans",0.001,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0.001,g,
"Beta-sitosterol",70.5,mg,
"Campesterol",9,mg,
"Cholesterol",0,mg,0 %
"Phytosterols",85.5,mg,
"Stigmasterol",6,mg,
"Alcohol, ethyl",0,g,
"Ash",18.7,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",106.1,g,
