Nutrient,Amount,Unit,DV
Calories,280,,
"Vitamin A, RAE",192,mcg,21 %
"Carotene, alpha",124,mcg,
"Carotene, beta",2000,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",4,mcg,
"Thiamin [Vitamin B1]",0.285,mg,24 %
"Riboflavin [Vitamin B2]",0.301,mg,23 %
"Niacin [Vitamin B3]",6.496,mg,41 %
"Pantothenic acid [Vitamin B5]",1.203,mg,24 %
"Vitamin B6",0.76,mg,45 %
"Vitamin B12 [Cobalamin]",2.02,mcg,84 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",115,mcg,29 %
"Folate, food",97,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",8.8,mg,10 %
"Vitamin D",0.1,mcg,0 %
"Vitamin D3",0.1,mcg,
"Vitamin E (alpha-tocopherol)",3.55,mg,24 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.55,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.81,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",40.1,mcg,33 %
"Vitamin K1 [Phylloquinone]",1.5,mcg,
"Betaine",7.6,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",92.5,mg,17 %
"Calcium",88,mg,7 %
"Copper",0.35,mg,39 %
"Fluoride",0.3,mcg,
"Iodine",0,mcg,0 %
"Iron",6.49,mg,36 %
"Magnesium",57,mg,14 %
"Manganese",0.9,mg,39 %
"Phosphorus",294,mg,24 %
"Potassium",791,mg,17 %
"Selenium",18.13,mcg,33 %
"Sodium",903,mg,39 %
"Zinc",5.84,mg,53 %
"Protein",26.29,g,53 %
"Histidine",0.785,g,69 %
"Isoleucine",1.109,g,71 %
"Leucine",1.936,g,56 %
"Lysine",2,g,64 %
"Methionine",0.552,g,
"Phenylalanine",1.051,g,
"Threonine",0.96,g,59 %
"Tryptophan",0.156,g,38 %
"Valine",1.263,g,64 %
"Phenylalanine + Tyrosine",1.807,g,67 %
"Methionine + Cysteine",0.866,g,56 %
"Arginine",1.817,g,
"Cystine",0.284,g,
"Cysteine",0.03,g,
"Glutamic acid",3.965,g,
"Glycine",1.574,g,
"Proline",1.363,g,
"Tyrosine",0.756,g,
"Alanine",1.464,g,
"Aspartic acid",2.524,g,
"Hydroxyproline",0.247,g,
"Carbohydrate",25.09,g,9 %
"Fiber",6.41,g,23 %
"Starch",9.58,g,
"Sugars",2.77,g,
"Fructose",0.05,g,
"Galactose",0,g,
"Glucose",0,g,
"Lactose",0,g,
"Maltose",0.06,g,
"Sucrose",0.28,g,
"Net carbs",18.68,g,
"Fat",9.183,g,12 %
"Saturated fatty acids",3.022,g,15 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Dodecanoic acid",0.005,g,
"Eicosanoic acid",0.009,g,
"Heptadecanoic acid",0.067,g,
"Hexadecanoic acid",1.44,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.92,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.029,g,
"Tetradecanoic acid",0.169,g,
"Monounsaturated fatty acids",3.822,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.02,g,
"Heptadecenoic acid",0.037,g,
"Hexadecenoic acid",0.21,g,
"Octadecenoic acid",2.464,g,
"Tetradecenoic acid",0.038,g,
"Trans-octadecenoic acid",0.316,g,
"Polyunsaturated fatty acids",1.201,g,
"α-linolenic acid n-3 (ALA)",0.028,g,
"γ-linolenic acid n-6 (GLA)",0.008,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.032,g,
"Octadecadienoic acid",0.275,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.058,g,
"Fatty acids, total trans",0.316,g,
"Fatty acids, total trans-monoenoic",0.316,g,
"Cholesterol",57,mg,19 %
"Phytosterols",0,mg,
"Alcohol, ethyl",0,g,
"Ash",2.65,g,
"Caffeine",0,mg,
"Serine",1.04,g,
"Theobromine",0,mg,
"Water",150.49,g,
