Ingredient,Amount,Unit,Description
"Paprika",18,g,"8 tsp"
"Cumin, ground",13,g,"4 tsp"
"Oregano, dried",3,g,"1 tbsp"
"Black pepper, ground",3,g,"1 tsp"
"Salt",6,g,"1 tsp"
"Cornstarch",1,g,"1/2 tsp"
"Cayenne pepper",1.5,g,"1/2 tsp"
"Bell pepper",296,g,"4 medium"
"Extra virgin olive oil",15,g,"1 tbsp"
"Lime juice",15,g,"1 tbsp"
"Ground chicken thighs",454,g,"1 lb"
"Extra virgin olive oil",15,g,"1 tbsp"
"Water",60,g,"1/4 cup"
"Apple cider vinegar",30,g,"2 tbsp"
"Lime juice",15,g,"1 tbsp"
Servings,4
