Nutrient,Amount,Unit,DV
Calories,385,,
"Vitamin A, RAE",66.22,mcg,7 %
"Carotene, alpha",46.23,mcg,
"Carotene, beta",330.36,mcg,
"Cryptoxanthin, alpha",1.31,mcg,
"Cryptoxanthin, beta",1.7,mcg,
"Lutein + zeaxanthin",184.03,mcg,
"Lutein",23.14,mcg,
"Lycopene",4866.44,mcg,
"Retinol",36.41,mcg,
"Zeaxanthin",23.04,mcg,
"cis-Lutein/Zeaxanthin",5.73,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.281,mg,23 %
"Riboflavin [Vitamin B2]",0.392,mg,30 %
"Niacin [Vitamin B3]",10.331,mg,65 %
"Pantothenic acid [Vitamin B5]",2.141,mg,43 %
"Vitamin B6",0.981,mg,58 %
"Vitamin B12 [Cobalamin]",2.81,mcg,117 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",67.06,mcg,17 %
"Folate, food",58.76,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",16.1,mg,18 %
"Vitamin D",0.37,mcg,2 %
"Vitamin D2",0,mcg,
"Vitamin D3",0.37,mcg,
"Vitamin E (alpha-tocopherol)",2.48,mg,17 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.48,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.28,mg,
"Tocotrienol, alpha",0.01,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",58.1,mcg,48 %
"Vitamin K1 [Phylloquinone]",29,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",9.7,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",154.2,mg,28 %
"Calcium",256.74,mg,20 %
"Copper",0.46,mg,51 %
"Fluoride",0.6,mcg,
"Iodine",4.94,mcg,3 %
"Iron",7.98,mg,44 %
"Magnesium",119.77,mg,29 %
"Manganese",1.28,mg,56 %
"Phosphorus",393.42,mg,31 %
"Potassium",1144.54,mg,24 %
"Selenium",29.19,mcg,53 %
"Sodium",1408.26,mg,61 %
"Zinc",7.48,mg,68 %
"Protein",32.86,g,66 %
"Alanine",1.876,g,
"Arginine",2.036,g,
"Aspartic acid",3.06,g,
"Cystine",0.329,g,
