Nutrient,Amount,Unit,DV
Calories,274,,
"Vitamin A, RAE",856.26,mcg,95 %
"Carotene, alpha",2643.97,mcg,
"Carotene, beta",7533.83,mcg,
"Cryptoxanthin, beta",370.43,mcg,
"Lutein + zeaxanthin",241.91,mcg,
"Lycopene",0.76,mcg,
"Retinol",102.85,mcg,
"Thiamin [Vitamin B1]",0.27,mg,22 %
"Riboflavin [Vitamin B2]",0.39,mg,30 %
"Niacin [Vitamin B3]",2.83,mg,18 %
"Pantothenic acid [Vitamin B5]",0.868,mg,17 %
"Vitamin B6",0.823,mg,48 %
"Vitamin B12 [Cobalamin]",5.28,mcg,220 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",92.23,mcg,23 %
"Folate, food",80.51,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",125.2,mg,139 %
"Vitamin D",1.26,mcg,6 %
"Vitamin E (alpha-tocopherol)",2.71,mg,18 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.71,mg,
"Tocopherol, beta",0.05,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.11,mg,
"Tocotrienol, alpha",0.04,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",46.6,mcg,39 %
"Vitamin K1 [Phylloquinone]",15.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",1.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",71.2,mg,13 %
"Calcium",321.05,mg,25 %
"Copper",0.4,mg,44 %
"Fluoride",3.5,mcg,
"Iodine",0,mcg,0 %
"Iron",4.49,mg,25 %
"Magnesium",84.4,mg,20 %
"Manganese",1.211,mg,53 %
"Phosphorus",360.93,mg,29 %
"Potassium",1235.41,mg,26 %
"Selenium",15.39,mcg,28 %
"Sodium",787.39,mg,34 %
"Zinc",1.88,mg,17 %
"Protein",14.69,g,29 %
"Alanine",0.489,g,
"Arginine",0.847,g,
"Aspartic acid",1.43,g,
"Cystine",0.17,g,
"Cysteine",0.06,g,
"Glutamic acid",1.86,g,
"Glycine",0.366,g,
"Histidine",0.195,g,17 %
"Hydroxyproline",0,g,
"Isoleucine",0.395,g,25 %
"Leucine",0.643,g,19 %
"Lysine",0.633,g,20 %
"Methionine",0.193,g,
"Phenylalanine",0.384,g,
"Proline",0.376,g,
"Serine",0.406,g,
"Threonine",0.496,g,30 %
"Tryptophan",0.122,g,30 %
"Tyrosine",0.308,g,
"Valine",0.462,g,24 %
"Phenylalanine + Tyrosine",0.692,g,26 %
"Methionine + Cysteine",0.253,g,16 %
"Carbohydrate",48.61,g,18 %
"Fiber",8.55,g,31 %
"Starch",12.64,g,
"Sugars",18.15,g,
"Fructose",3.31,g,
"Galactose",0,g,
"Glucose",3.64,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",3.59,g,
"Net carbs",40.06,g,
"0.04 g",,undefined,0.00
"Fat",3.722,g,5 %
"Saturated fatty acids",0.68,g,3 %
"Butanoic acid",0.003,g,
"Decanoic acid",0.003,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0.005,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.137,g,
"Hexanoic acid",0.003,g,
"Octadecanoic acid",0.026,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.016,g,
"Monounsaturated fatty acids",1.956,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.009,g,
"Octadecenoic acid",0.057,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",0.627,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0.021,g,
"Docosapentaenoic n-3 acid (DPA)",0.002,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0.013,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.189,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.056,g,
"Fatty acids, total trans",0,g,
"Cholesterol",13.09,mg,4 %
"Phytosterols",11.34,mg,
"Alcohol, ethyl",0,g,
"Ash",2.19,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",379.01,g,
