Nutrient,Amount,Unit,DV
Calories,621,,
"Vitamin A, RAE",111.64,mcg,12 %
"Carotene, alpha",0.02,mcg,
"Carotene, beta",2.58,mcg,
"Retinol",108,mcg,
"Thiamin [Vitamin B1]",0.361,mg,30 %
"Riboflavin [Vitamin B2]",0.86,mg,66 %
"Niacin [Vitamin B3]",6.469,mg,40 %
"Pantothenic acid [Vitamin B5]",1.758,mg,35 %
"Vitamin B6",0.752,mg,44 %
"Vitamin B12 [Cobalamin]",1.69,mcg,70 %
"Folate, DFE [Vitamin B9]",86.2,mcg,22 %
"Vitamin C [Ascorbic acid]",9.7,mg,11 %
"Vitamin D",1.2,mcg,6 %
"Vitamin E (alpha-tocopherol)",5.33,mg,36 %
"Tocopherol, alpha",5.33,mg,
"Vitamin K",1.8,mcg,2 %
"Betaine",2.2,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",70.9,mg,13 %
"Calcium",548.39,mg,42 %
"Copper",0.83,mg,92 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",4.74,mg,26 %
"Magnesium",278.3,mg,66 %
"Manganese",3.401,mg,148 %
"Phosphorus",714.48,mg,57 %
"Potassium",1304.95,mg,28 %
"Selenium",39.18,mcg,71 %
"Sodium",309.07,mg,13 %
"Zinc",4.31,mg,39 %
"Protein",40.3,g,81 %
"Alanine",1.604,g,
"Arginine",2.429,g,
"Aspartic acid",2.071,g,
"Cystine",0.487,g,
"Cysteine",0.49,g,
"Glutamic acid",8.629,g,
"Glycine",1.388,g,
"Histidine",1.15,g,101 %
"Hydroxyproline",0,g,
"Isoleucine",1.863,g,120 %
"Leucine",3.566,g,104 %
"Lysine",2.542,g,82 %
"Methionine",0.916,g,
"Phenylalanine",2.094,g,
"Proline",3.493,g,
"Serine",2.028,g,
"Threonine",1.54,g,94 %
"Tryptophan",0.516,g,126 %
"Tyrosine",1.789,g,
"Valine",2.397,g,122 %
"Phenylalanine + Tyrosine",3.883,g,144 %
"Methionine + Cysteine",1.893,g,122 %
"Carbohydrate",77.17,g,28 %
"Fiber",14.49,g,52 %
"Sugars",24.44,g,
"Net carbs",62.68,g,
"Fat",22.397,g,29 %
"Saturated fatty acids",4.216,g,21 %
"Monounsaturated fatty acids",10.498,g,
"Polyunsaturated fatty acids",4.488,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Fatty acids, total trans",0,g,
"Cholesterol",11.3,mg,4 %
"Alcohol, ethyl",0.8,g,
"Caffeine",23,mg,
"Theobromine",205.7,mg,
"Water",398.93,g,
