Nutrient,Amount,Unit,DV
Calories,526,,
"Vitamin A, RAE",55.74,mcg,6 %
"Carotene, alpha",0,mcg,
"Carotene, beta",45,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",262.03,mcg,
"Lycopene",0,mcg,
"Retinol",52.64,mcg,
"Thiamin [Vitamin B1]",0.633,mg,53 %
"Riboflavin [Vitamin B2]",0.668,mg,51 %
"Niacin [Vitamin B3]",3,mg,19 %
"Pantothenic acid [Vitamin B5]",1.102,mg,22 %
"Vitamin B6",0.332,mg,20 %
"Vitamin B12 [Cobalamin]",1.58,mcg,66 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",47.06,mcg,12 %
"Folate, food",52.94,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",4.2,mg,5 %
"Vitamin D",0.88,mcg,4 %
"Vitamin D2",0,mcg,
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",1.02,mg,7 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.02,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.05,mg,
"Tocopherol, gamma",2.59,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",26.8,mcg,22 %
"Vitamin K1 [Phylloquinone]",26.8,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",1.6,mg,
"Choline",55.2,mg,10 %
"Calcium",700.58,mg,54 %
"Copper",0.5,mg,56 %
"Fluoride",0,mcg,
"Iron",4.06,mg,23 %
"Magnesium",232.99,mg,55 %
"Manganese",2.611,mg,114 %
"Phosphorus",674.83,mg,54 %
"Potassium",796.33,mg,17 %
"Selenium",37.78,mcg,69 %
"Sodium",252.96,mg,11 %
"Zinc",3.64,mg,33 %
"Protein",40.52,g,81 %
"Alanine",0.273,g,
"Arginine",0.541,g,
"Aspartic acid",0.52,g,
"Cystine",0.099,g,
"Glutamic acid",1.026,g,
"Glycine",0.301,g,
"Histidine",0.134,g,12 %
"Hydroxyproline",0.023,g,
"Isoleucine",0.232,g,15 %
"Leucine",0.365,g,11 %
"Lysine",0.24,g,8 %
"Methionine",0.13,g,
"Phenylalanine",0.269,g,
"Proline",0.221,g,
"Serine",0.272,g,
"Threonine",0.204,g,12 %
"Tryptophan",0.094,g,23 %
"Tyrosine",0.14,g,
"Valine",0.281,g,14 %
"Phenylalanine + Tyrosine",0.409,g,15 %
"Methionine + Cysteine",0.13,g,8 %
"Carbohydrate",64.39,g,23 %
"Fiber",15.63,g,56 %
"Sugars",22.77,g,
"Fructose",0,g,
"Galactose",1.05,g,
"Glucose",0.05,g,
"Lactose",3.81,g,
"Maltose",0,g,
"Sucrose",0.15,g,
"Net carbs",48.76,g,
"2.14 g",0.71 g,undefined,0.33
"Fat",13.559,g,17 %
"Saturated fatty acids",1.616,g,8 %
"Butanoic acid",0.002,g,
"Decanoic acid",0.021,g,
"Docosanoic acid",0.011,g,
"Dodecanoic acid",0.019,g,
"Eicosanoic acid",0.018,g,
"Heptadecanoic acid",0.014,g,
"Hexadecanoic acid",1.055,g,
"Hexanoic acid",0.005,g,
"Octadecanoic acid",0.361,g,
"Octanoic acid",0.007,g,
"Pentadecanoic acid",0.009,g,
"Tetracosanoic acid",0.004,g,
"Tetradecanoic acid",0.037,g,
"Monounsaturated fatty acids",2.282,g,
"Cis-hexadecenoic acid",0.003,g,
"Cis-octadecenoic acid",0.064,g,
"Docosenoic acid",0.002,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.018,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.017,g,
"Octadecenoic acid",2.231,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.008,g,
"Tetradecenoic acid",0.005,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.009,g,
"Polyunsaturated fatty acids",7.95,g,
"α-linolenic acid n-3 (ALA)",2.14,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.001,g,
"Linoleic acid n-6 (LA)",0.71,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",2.625,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",5.321,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.026,g,
"Fatty acids, total trans-monoenoic",0.009,g,
"Fatty acids, total trans-polyenoic",0,g,
"Beta-sitosterol",11.7,mg,
"Campesterol",5.85,mg,
"Cholesterol",19.9,mg,7 %
"Phytosterols",0,mg,
"Stigmasterol",1.43,mg,
"Alcohol, ethyl",0,g,
"Ash",3.57,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",340.81,g,
