Nutrient,Amount,Unit,DV
Calories,575,,
"Vitamin A, RAE",238.16,mcg,26 %
"Carotene, alpha",36.17,mcg,
"Carotene, beta",2343.89,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",13.61,mcg,
"Thiamin [Vitamin B1]",0.367,mg,31 %
"Riboflavin [Vitamin B2]",0.469,mg,36 %
"Niacin [Vitamin B3]",19.061,mg,119 %
"Pantothenic acid [Vitamin B5]",3.192,mg,64 %
"Vitamin B6",1.841,mg,108 %
"Vitamin B12 [Cobalamin]",0.32,mcg,13 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",113.39,mcg,28 %
"Folate, food",14.13,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",139,mg,154 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",3.46,mg,23 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.46,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.14,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",21.6,mcg,18 %
"Vitamin K1 [Phylloquinone]",0,mcg,
"Vitamin K2 [Menaquinone]",12.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",11.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",151.7,mg,28 %
"Calcium",104.6,mg,8 %
"Copper",0.79,mg,88 %
"Fluoride",0.8,mcg,
"Iodine",0,mcg,0 %
"Iron",5.53,mg,31 %
"Magnesium",128.48,mg,31 %
"Manganese",2.295,mg,100 %
"Phosphorus",596.12,mg,48 %
"Potassium",1481.34,mg,32 %
"Selenium",44.31,mcg,81 %
"Sodium",515.97,mg,22 %
"Zinc",3.45,mg,31 %
"Protein",49.5,g,99 %
"Alanine",2.593,g,
"Arginine",4.03,g,
"Aspartic acid",5.119,g,
"Cystine",0.566,g,
"Cysteine",0.2,g,
"Glutamic acid",8.246,g,
"Glycine",2.294,g,
"Histidine",1.617,g,141 %
"Hydroxyproline",0,g,
"Isoleucine",2.191,g,141 %
"Leucine",3.757,g,110 %
"Lysine",3.88,g,125 %
"Methionine",1.078,g,
"Phenylalanine",2.117,g,
"Proline",1.804,g,
"Serine",2.011,g,
"Threonine",2.041,g,125 %
"Tryptophan",0.589,g,144 %
"Tyrosine",1.741,g,
"Valine",2.43,g,124 %
"Phenylalanine + Tyrosine",3.858,g,143 %
"Methionine + Cysteine",1.844,g,119 %
"Carbohydrate",30.62,g,11 %
"Fiber",10,g,36 %
"Sugars",11.62,g,
"Net carbs",20.62,g,
"0.04 g",0.51 g,undefined,12.68
"Fat",31.039,g,40 %
"Saturated fatty acids",22.539,g,113 %
"Butanoic acid",0,g,
"Decanoic acid",0.026,g,
"Docosanoic acid",0.005,g,
"Dodecanoic acid",0.008,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0.005,g,
"Hexadecanoic acid",0.605,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.197,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.018,g,
"Monounsaturated fatty acids",3.347,g,
"Cis-hexadecenoic acid",0.125,g,
"Cis-octadecenoic acid",0.881,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.015,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.127,g,
"Octadecenoic acid",0.979,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.005,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.009,g,
"Polyunsaturated fatty acids",1.998,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.48,g,
"Docosahexaenoic n-3 acid (DHA)",0.006,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.018,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.018,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.073,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",0.499,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.022,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.011,g,
"Fatty acids, total trans-monoenoic",0.009,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",110.37,mg,37 %
"Phytosterols",0.99,mg,
"Alcohol, ethyl",0,g,
"Ash",1.79,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",686.15,g,
