Nutrient,Amount,Unit,DV
Calories,474,,
"Vitamin A, RAE",238.16,mcg,26 %
"Carotene, alpha",36.17,mcg,
"Carotene, beta",2343.89,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",13.61,mcg,
"Thiamin [Vitamin B1]",0.309,mg,26 %
"Riboflavin [Vitamin B2]",0.477,mg,37 %
"Niacin [Vitamin B3]",19.768,mg,124 %
"Pantothenic acid [Vitamin B5]",3.08,mg,62 %
"Vitamin B6",1.87,mg,110 %
"Vitamin B12 [Cobalamin]",0.32,mcg,13 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",101.93,mcg,25 %
"Folate, food",14.13,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",137.1,mg,152 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",4.41,mg,29 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",4.41,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.14,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",21.5,mcg,18 %
"Vitamin K1 [Phylloquinone]",0,mcg,
"Vitamin K2 [Menaquinone]",12.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",11.2,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",159.8,mg,29 %
"Calcium",85.3,mg,7 %
"Copper",0.38,mg,42 %
"Fluoride",0.8,mcg,
"Iodine",0,mcg,0 %
"Iron",4,mg,22 %
"Magnesium",133.63,mg,32 %
"Manganese",1.597,mg,69 %
"Phosphorus",524.34,mg,42 %
"Potassium",1220.62,mg,26 %
"Selenium",40.96,mcg,74 %
"Sodium",593.09,mg,26 %
"Zinc",2.63,mg,24 %
"Protein",44.14,g,88 %
"Alanine",2.357,g,
"Arginine",3.303,g,
"Aspartic acid",4.486,g,
"Cystine",0.486,g,
"Cysteine",0.12,g,
"Glutamic acid",7.066,g,
"Glycine",1.982,g,
"Histidine",1.481,g,130 %
"Hydroxyproline",0,g,
"Isoleucine",1.992,g,128 %
"Leucine",3.384,g,99 %
"Lysine",3.669,g,118 %
"Methionine",1,g,
"Phenylalanine",1.834,g,
"Proline",1.566,g,
"Serine",1.735,g,
"Threonine",1.85,g,113 %
"Tryptophan",0.532,g,130 %
"Tyrosine",1.533,g,
"Valine",2.17,g,111 %
"Phenylalanine + Tyrosine",3.367,g,125 %
"Methionine + Cysteine",1.606,g,104 %
"Carbohydrate",26.39,g,10 %
"Fiber",7.77,g,28 %
"Sugars",9.4,g,
"Net carbs",18.62,g,
"0.04 g",0.51 g,undefined,12.68
"Fat",23.435,g,30 %
"Saturated fatty acids",9.546,g,48 %
"Butanoic acid",0,g,
"Decanoic acid",0.026,g,
"Docosanoic acid",0.005,g,
"Dodecanoic acid",0.008,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0.005,g,
"Hexadecanoic acid",0.605,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.197,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.018,g,
"Monounsaturated fatty acids",7.251,g,
"Cis-hexadecenoic acid",0.125,g,
"Cis-octadecenoic acid",0.881,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.015,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.127,g,
"Octadecenoic acid",0.979,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.005,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.009,g,
"Polyunsaturated fatty acids",3.273,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.48,g,
"Docosahexaenoic n-3 acid (DHA)",0.006,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.018,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.018,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.073,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",0.499,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.022,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.011,g,
"Fatty acids, total trans-monoenoic",0.009,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",110.37,mg,37 %
"Phytosterols",0.99,mg,
"Alcohol, ethyl",0,g,
"Ash",1.79,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",706.81,g,
