Nutrient,Amount,Unit,DV
Calories,419,,
"Vitamin A, RAE",238.16,mcg,26 %
"Carotene, alpha",36.17,mcg,
"Carotene, beta",2343.89,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",13.61,mcg,
"Thiamin [Vitamin B1]",0.349,mg,29 %
"Riboflavin [Vitamin B2]",0.463,mg,36 %
"Niacin [Vitamin B3]",18.545,mg,116 %
"Pantothenic acid [Vitamin B5]",3.111,mg,62 %
"Vitamin B6",1.819,mg,107 %
"Vitamin B12 [Cobalamin]",0.32,mcg,13 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",102.52,mcg,26 %
"Folate, food",14.13,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",137.1,mg,152 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",3.36,mg,22 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.36,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.14,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",21.5,mcg,18 %
"Vitamin K1 [Phylloquinone]",0,mcg,
"Vitamin K2 [Menaquinone]",12.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",11.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",146,mg,27 %
"Calcium",93.73,mg,7 %
"Copper",0.61,mg,68 %
"Fluoride",0.8,mcg,
"Iodine",0,mcg,0 %
"Iron",4.42,mg,25 %
"Magnesium",103.34,mg,25 %
"Manganese",1.893,mg,82 %
"Phosphorus",528.18,mg,42 %
"Potassium",1302.65,mg,28 %
"Selenium",40.1,mcg,73 %
"Sodium",505.78,mg,22 %
"Zinc",3,mg,27 %
"Protein",47.95,g,96 %
"Alanine",2.513,g,
"Arginine",3.775,g,
"Aspartic acid",4.967,g,
"Cystine",0.536,g,
"Cysteine",0.16,g,
"Glutamic acid",7.891,g,
"Glycine",2.22,g,
"Histidine",1.581,g,138 %
"Hydroxyproline",0,g,
"Isoleucine",2.13,g,137 %
"Leucine",3.641,g,106 %
"Lysine",3.811,g,123 %
"Methionine",1.049,g,
"Phenylalanine",2.039,g,
"Proline",1.74,g,
"Serine",1.93,g,
"Threonine",1.985,g,122 %
"Tryptophan",0.571,g,140 %
"Tyrosine",1.693,g,
"Valine",2.335,g,119 %
"Phenylalanine + Tyrosine",3.732,g,139 %
"Methionine + Cysteine",1.745,g,112 %
"Carbohydrate",26.86,g,10 %
"Fiber",8.5,g,30 %
"Sugars",9.35,g,
"Net carbs",18.36,g,
"0.04 g",0.51 g,undefined,12.68
"Fat",14.841,g,19 %
"Saturated fatty acids",8.176,g,41 %
"Butanoic acid",0,g,
"Decanoic acid",0.026,g,
"Docosanoic acid",0.005,g,
"Dodecanoic acid",0.008,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0.005,g,
"Hexadecanoic acid",0.605,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.197,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.018,g,
"Monounsaturated fatty acids",2.658,g,
"Cis-hexadecenoic acid",0.125,g,
"Cis-octadecenoic acid",0.881,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.015,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.127,g,
"Octadecenoic acid",0.979,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.005,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.009,g,
"Polyunsaturated fatty acids",1.82,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.48,g,
"Docosahexaenoic n-3 acid (DHA)",0.006,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.018,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.018,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.073,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",0.499,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.022,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.011,g,
"Fatty acids, total trans-monoenoic",0.009,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",110.37,mg,37 %
"Phytosterols",0.99,mg,
"Alcohol, ethyl",0,g,
"Ash",1.79,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",707.67,g,
