Ingredient,Amount,Unit,Description
"Spinach, unprepared, chopped or leaf, frozen",454,g,"16 ounce"
"Tomato paste by REDPACK",170,g,"6 ounce"
"Nonfat cottage cheese by HP Hood LLC",116,g,"1/2 cup"
"Kraft Grated Parmesan Cheese",50,g,"6tbsp"
"Lemon juice from concentrate, REAL LEMON, bottled",45,g,"3 tbsp"
"Minced garlic by MEMBER'S MARK",45,g,"3 tbsp"
"Extra virgin olive oil by QO",28,g,"2 tbsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Lemon pepper by LA CRIOLLA",3,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Salt, table",0,g,"1 dash"
"Onions, raw",140,g,"2 small"
"Mushrooms, raw, white",170,g,"6 ounce"
"Table salt by FIRST STREET",6,g,"1 tsp"
"Turkey, raw, 7% fat, 93% lean, ground",589,g,"1.3 lb"
"Spices, dried, basil",2,g,"3 tsp, leaves"
"Garlic powder by EL SABOR",4,g,"2 tsp"
"Onion powder by STONEMILL",5,g,"2 tsp"
"Lemon pepper by La Criolla Inc.",3,g,"1 tsp"
"Extra hot red pepper flakes by DOC MEYERS BRAND",1,g,"0.5 tsp"
Servings,6
