Ingredient,Amount,Unit,Description
"Banana, overripe",110,g,"1 Banana"
"Whey protein powder, unflavored",15,g,"1/2 scoop"
"Casein protein powder, unflavored",15,g,"1/2 scoop"
"Oat flour",23,g,"1/4 cup"
"Cornstarch",8,g,"1 tbsp"
"Liquid stevia or monk fruit",5,g,"1 tsp"
"Cinnamon",3,g,"1 tsp"
"Baking powder",5,g,"1 tsp"
"Pumpkin puree",425,g,"15oz can"
"Large egg",101,g,"2 egg"
"Water",60,g,"1/4 cup"
"Cinnamon",4,g,"1/2 tbsp"
"Salt",3,g,"1/2 tsp"
"Ginger, ground",0,g,"1/4 tsp"
"Nutmeg, ground",1,g,"1/4 tsp"
"Cloves, ground",0,g,"1/8 tsp"
"Plain nonfat greek yogurt",60,g,"1/4 cup"
"Liquid stevia or monk fruit",4,g,"1 tsp"
"Vanilla extract",2,g,"1/2 tsp"
"Whey protein powder, unflavored",60,g,"2 scoops"
Servings,8
