Nutrient,Amount,Unit,DV
Calories,303,,
"Vitamin A, RAE",133.27,mcg,15 %
"Carotene, alpha",83.6,mcg,
"Carotene, beta",1467.14,mcg,
"Cryptoxanthin, beta",147.52,mcg,
"Lutein + zeaxanthin",1992.03,mcg,
"Lycopene",22201.42,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.484,mg,40 %
"Riboflavin [Vitamin B2]",0.4,mg,31 %
"Niacin [Vitamin B3]",7.093,mg,44 %
"Pantothenic acid [Vitamin B5]",1.793,mg,36 %
"Vitamin B6",1.147,mg,67 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",140.62,mcg,35 %
"Folate, food",140.5,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",110.2,mg,122 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",7.66,mg,51 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",7.66,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.09,mg,
"Tocotrienol, alpha",0.01,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",69.6,mcg,58 %
"Vitamin K1 [Phylloquinone]",65,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.5,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",81.6,mg,15 %
"Calcium",236.09,mg,18 %
"Copper",1.05,mg,117 %
"Fluoride",0.5,mcg,
"Iodine",0,mcg,0 %
"Iron",8.01,mg,44 %
"Magnesium",149.03,mg,35 %
"Manganese",1.545,mg,67 %
"Phosphorus",255.31,mg,20 %
"Potassium",2108.13,mg,45 %
"Selenium",4.65,mcg,8 %
"Sodium",1338.19,mg,58 %
"Zinc",2.15,mg,20 %
"Protein",11.46,g,23 %
"Alanine",0.336,g,
"Arginine",0.454,g,
"Aspartic acid",1.392,g,
"Cystine",0.114,g,
"Cysteine",0,g,
"Glutamic acid",2.919,g,
"Glycine",0.294,g,
"Histidine",0.167,g,15 %
"Hydroxyproline",0,g,
"Isoleucine",0.282,g,18 %
"Leucine",0.436,g,13 %
"Lysine",0.402,g,13 %
"Methionine",0.094,g,
"Phenylalanine",0.308,g,
"Proline",0.304,g,
"Serine",0.302,g,
"Threonine",0.273,g,17 %
"Tryptophan",0.084,g,21 %
"Tyrosine",0.198,g,
"Valine",0.331,g,17 %
"Phenylalanine + Tyrosine",0.506,g,19 %
"Methionine + Cysteine",0.094,g,6 %
"Carbohydrate",53.36,g,19 %
"Fiber",15.95,g,57 %
"Starch",0,g,
"Sugars",29.62,g,
"Fructose",13.16,g,
"Galactose",0.01,g,
"Glucose",11.88,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.85,g,
"Net carbs",37.41,g,
"0.03 g",0.01 g,undefined,0.37
"Fat",9.558,g,12 %
"Saturated fatty acids",1.437,g,7 %
"Butanoic acid",0,g,
"Decanoic acid",0.011,g,
"Docosanoic acid",0.003,g,
"Dodecanoic acid",0.004,g,
"Eicosanoic acid",0.001,g,
"Heptadecanoic acid",0.001,g,
"Hexadecanoic acid",0.262,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.088,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0.001,g,
"Tetradecanoic acid",0.003,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",5.736,g,
"Cis-hexadecenoic acid",0.001,g,
"Cis-octadecenoic acid",0.03,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.015,g,
"Octadecenoic acid",0.242,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.001,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",1.575,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.001,g,
"Linoleic acid n-6 (LA)",0.01,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0.001,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.001,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.658,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.115,g,
"Trans-octadecadienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",17.68,mg,
"Alcohol, ethyl",0,g,
"Ash",8.69,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",703.09,g,
