Ingredient,Amount,Unit,Description
"Extra virgin olive oil by QO",7,g,"0.5 tbsp"
"Onions, raw",70,g,"1 small"
"Salt, table",2,g,"0.25 tsp"
"Minced garlic by STONEMILL",20,g,"4 tsp"
"Spices, chili powder",5,g,"2 tsp"
"Spices, paprika",5,g,"2 tsp"
"Cumin ground by ROUNDY'S",3,g,"1 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Beans, solids and liquids, canned, mature seeds, pinto",822,g,"2x15.5 oz cans"
"Lime juice from concentrate by Safeway, Inc.",30,g,"2 tbsp"
Servings,6
