Nutrient,Amount,Unit,DV
Calories,32,,
"Thiamin [Vitamin B1]",6.320,mg,527 %
"Riboflavin [Vitamin B2]",5.173,mg,398 %
"Niacin [Vitamin B3]",24.533,mg,153 %
"Vitamin B6",3.147,mg,185 %
"Vitamin B12 [Cobalamin]",9.39,mcg,391 %
"Calcium",3.20,mg,0 %
"Iron",0.53,mg,3 %
"Potassium",140.80,mg,3 %
"Sodium",13.36,mg,1 %
"Protein",4.27,g,9 %
"Carbohydrate",2.67,g,1 %
"Fiber",1.60,g,6 %
"Sugars",0.00,g,
"Net carbs",1.07,g,
"Fat",0.266,g,0 %
"Saturated fatty acids",0.000,g,0 %
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
