Nutrient,Amount,Unit,DV
Calories,88,,
"Vitamin A, RAE",0.00,mcg,0 %
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Calcium",27.00,mg,2 %
"Copper",0.03,mg,3 %
"Iron",0.72,mg,4 %
"Magnesium",12.00,mg,3 %
"Manganese",0.131,mg,6 %
"Phosphorus",19.00,mg,2 %
"Potassium",112.00,mg,2 %
"Sodium",23.00,mg,1 %
"Zinc",0.08,mg,1 %
"Protein",0.49,g,1 %
"Carbohydrate",17.03,g,6 %
"Sugars",14.95,g,
"Fructose",7.38,g,
"Galactose",0.00,g,
"Glucose",7.57,g,
"Lactose",0.00,g,
"Maltose",0.00,g,
"Sucrose",0.00,g,
"Net carbs",17.03,g,
"Fat",0.000,g,0 %
"Saturated fatty acids",0.000,g,0 %
"Fatty acids, total trans",0.000,g,
