Nutrient,Amount,Unit,DV
Calories,22,,
"Vitamin A, RAE",316.00,mcg,35 %
"Carotene, alpha",3.00,mcg,
"Carotene, beta",3794.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",1503.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.100,mg,8 %
"Riboflavin [Vitamin B2]",0.220,mg,17 %
"Niacin [Vitamin B3]",0.400,mg,2 %
"Pantothenic acid [Vitamin B5]",0.250,mg,5 %
"Vitamin B6",0.106,mg,6 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",15.00,mcg,4 %
"Folate, food",15.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",30.0,mg,33 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.50,mg,10 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",1.50,mg,
"Vitamin K",400.0,mcg,333 %
"Vitamin K1 [Phylloquinone]",400.0,mcg,
"Choline",0.4,mg,0 %
"Calcium",117.00,mg,9 %
"Copper",0.19,mg,21 %
"Iron",2.57,mg,14 %
"Magnesium",70.00,mg,17 %
"Manganese",0.391,mg,17 %
"Phosphorus",41.00,mg,3 %
"Potassium",762.00,mg,16 %
"Selenium",0.90,mcg,2 %
"Sodium",226.00,mg,10 %
"Zinc",0.38,mg,3 %
"Protein",2.20,g,4 %
"Alanine",0.081,g,
"Arginine",0.063,g,
"Aspartic acid",0.129,g,
"Cystine",0.021,g,
"Glutamic acid",0.267,g,
"Glycine",0.081,g,
"Histidine",0.034,g,3 %
"Isoleucine",0.046,g,3 %
"Leucine",0.098,g,3 %
"Lysine",0.064,g,2 %
"Methionine",0.018,g,
"Phenylalanine",0.058,g,
"Proline",0.052,g,
"Serine",0.070,g,
"Threonine",0.065,g,4 %
"Tryptophan",0.035,g,9 %
"Tyrosine",0.052,g,
"Valine",0.065,g,3 %
"Phenylalanine + Tyrosine",0.11,g,4 %
"Methionine + Cysteine",0.018,g,1 %
"Carbohydrate",4.33,g,2 %
"Fiber",3.70,g,13 %
"Sugars",0.50,g,
"Net carbs",0.63,g,
"Fat",0.130,g,0 %
"Saturated fatty acids",0.020,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Hexadecanoic acid",0.020,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.000,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.000,g,
"Monounsaturated fatty acids",0.026,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.026,g,
"Polyunsaturated fatty acids",0.046,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.041,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.004,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Phytosterols",21.00,mg,
"Alcohol, ethyl",0.0,g,
"Ash",2.33,g,
"Caffeine",0.00,mg,
