Nutrient,Amount,Unit,DV
Calories,138,,
"Vitamin A, RAE",107.94,mcg,12 %
"Carotene, alpha",11.52,mcg,
"Carotene, beta",1259.1,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.224,mg,19 %
"Riboflavin [Vitamin B2]",0.196,mg,15 %
"Niacin [Vitamin B3]",3.793,mg,24 %
"Pantothenic acid [Vitamin B5]",0.36,mg,7 %
"Vitamin B6",0.34,mg,20 %
"Vitamin B12 [Cobalamin]",0.12,mcg,5 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",30.29,mcg,8 %
"Folate, food",7.09,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",10.1,mg,11 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.05,mg,7 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.05,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.06,mg,
"Tocotrienol, alpha",0.13,mg,
"Tocotrienol, beta",0.03,mg,
"Tocotrienol, delta",0.02,mg,
"Tocotrienol, gamma",0.42,mg,
"Vitamin K",99.3,mcg,83 %
"Vitamin K1 [Phylloquinone]",0.2,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",16.6,mg,3 %
"Calcium",39.2,mg,3 %
"Copper",0.2,mg,22 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",1.3,mg,7 %
"Magnesium",50.2,mg,12 %
"Manganese",1.153,mg,50 %
"Phosphorus",134.8,mg,11 %
"Potassium",352.49,mg,7 %
"Selenium",7.28,mcg,13 %
"Sodium",183.03,mg,8 %
"Zinc",0.93,mg,8 %
"Protein",5.57,g,11 %
"Alanine",0.338,g,
"Arginine",0.404,g,
"Aspartic acid",0.556,g,
"Cystine",0.063,g,
"Cysteine",0.03,g,
"Glutamic acid",0.978,g,
"Glycine",0.28,g,
"Histidine",0.177,g,15 %
"Hydroxyproline",0,g,
"Isoleucine",0.268,g,17 %
"Leucine",0.485,g,14 %
"Lysine",0.394,g,13 %
"Methionine",0.137,g,
"Phenylalanine",0.276,g,
"Proline",0.249,g,
"Serine",0.255,g,
"Threonine",0.236,g,14 %
"Tryptophan",0.077,g,19 %
"Tyrosine",0.213,g,
"Valine",0.328,g,17 %
"Phenylalanine + Tyrosine",0.489,g,18 %
"Methionine + Cysteine",0.23,g,15 %
"Carbohydrate",25.79,g,9 %
"Fiber",2.03,g,7 %
"Starch",22.36,g,
"Sugars",1.2,g,
"Fructose",0,g,
"Galactose",0,g,
"Glucose",0,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.2,g,
"Net carbs",23.76,g,
"0.01 g",0.30 g,undefined,30.00
"Fat",1.784,g,2 %
"Saturated fatty acids",0.363,g,2 %
"Butanoic acid",0,g,
"Decanoic acid",0.005,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0.002,g,
"Eicosanoic acid",0.005,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.142,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.018,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0.001,g,
"Tetracosanoic acid",0.005,g,
"Tetradecanoic acid",0.005,g,
"Monounsaturated fatty acids",0.487,g,
"Cis-hexadecenoic acid",0.001,g,
"Cis-octadecenoic acid",0.32,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.003,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.001,g,
"Octadecenoic acid",0.32,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.349,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.3,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.298,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.01,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",2.86,mg,1 %
"Alcohol, ethyl",0,g,
"Ash",0.38,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",84.9,g,
