Nutrient,Amount,Unit,DV
Calories,228,,
"Vitamin A, RAE",0.00,mcg,0 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",0.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",38.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.078,mg,6 %
"Riboflavin [Vitamin B2]",0.241,mg,19 %
"Niacin [Vitamin B3]",2.185,mg,14 %
"Pantothenic acid [Vitamin B5]",0.254,mg,5 %
"Vitamin B6",0.118,mg,7 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",32.00,mcg,8 %
"Folate, food",32.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.10,mg,1 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.10,mg,
"Vitamin K",2.5,mcg,2 %
"Vitamin K1 [Phylloquinone]",2.5,mcg,
"Choline",12.0,mg,2 %
"Calcium",128.00,mg,10 %
"Copper",3.79,mg,421 %
"Iron",13.86,mg,77 %
"Magnesium",499.00,mg,119 %
"Manganese",3.837,mg,167 %
"Phosphorus",734.00,mg,59 %
"Potassium",1524.00,mg,32 %
"Selenium",14.30,mcg,26 %
"Sodium",21.00,mg,1 %
"Zinc",6.81,mg,62 %
"Protein",19.60,g,39 %
"Alanine",0.904,g,
"Arginine",1.111,g,
"Aspartic acid",1.953,g,
"Cystine",0.239,g,
"Glutamic acid",2.948,g,
"Glycine",0.879,g,
"Histidine",0.339,g,30 %
"Isoleucine",0.760,g,49 %
"Leucine",1.189,g,35 %
"Lysine",0.983,g,32 %
"Methionine",0.202,g,
"Phenylalanine",0.941,g,
"Proline",0.838,g,
"Serine",0.846,g,
"Threonine",0.776,g,48 %
"Tryptophan",0.293,g,72 %
"Tyrosine",0.735,g,
"Valine",1.177,g,60 %
"Phenylalanine + Tyrosine",1.676,g,62 %
"Methionine + Cysteine",0.202,g,13 %
"Carbohydrate",57.90,g,21 %
"Fiber",37.00,g,132 %
"Sugars",1.75,g,
"Net carbs",20.9,g,
"Fat",13.700,g,18 %
"Saturated fatty acids",8.070,g,40 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Hexadecanoic acid",3.690,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",4.250,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.020,g,
"Monounsaturated fatty acids",4.570,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",4.570,g,
"Polyunsaturated fatty acids",0.440,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.440,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",5.80,g,
"Caffeine",230.00,mg,
