Nutrient,Amount,Unit,DV
Calories,344,,
"Thiamin [Vitamin B1]",0.376,mg,31 %
"Niacin [Vitamin B3]",5.822,mg,36 %
"Vitamin B6",0.236,mg,14 %
"Biotin [Vitamin B7]",5.49,mcg,18 %
"Calcium",26.00,mg,2 %
"Copper",0.47,mg,52 %
"Fluoride",0.0,mcg,
"Iodine",0.00,mcg,0 %
"Iron",3.20,mg,18 %
"Magnesium",119.11,mg,28 %
"Phosphorus",368.89,mg,30 %
"Potassium",384.44,mg,8 %
"Sodium",0.00,mg,0 %
"Zinc",3.98,mg,36 %
"Protein",12.60,g,25 %
"Carbohydrate",72.00,g,26 %
"Fiber",9.51,g,34 %
"Net carbs",62.49,g,
"Fat",3.111,g,4 %
"Saturated fatty acids",0.000,g,0 %
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
