Nutrient,Amount,Unit,DV
Calories,74,,
"Vitamin A, RAE",7.00,mcg,1 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",85.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",9.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.060,mg,5 %
"Riboflavin [Vitamin B2]",0.050,mg,4 %
"Niacin [Vitamin B3]",0.400,mg,2 %
"Pantothenic acid [Vitamin B5]",0.300,mg,6 %
"Vitamin B6",0.113,mg,7 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",6.00,mcg,2 %
"Folate, food",6.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",2.0,mg,2 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.11,mg,1 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.11,mg,
"Vitamin K",4.7,mcg,4 %
"Vitamin K1 [Phylloquinone]",4.7,mcg,
"Choline",4.7,mg,1 %
"Calcium",35.00,mg,3 %
"Copper",0.07,mg,8 %
"Iron",0.37,mg,2 %
"Magnesium",17.00,mg,4 %
"Manganese",0.128,mg,6 %
"Phosphorus",14.00,mg,1 %
"Potassium",232.00,mg,5 %
"Selenium",0.20,mcg,0 %
"Sodium",1.00,mg,0 %
"Zinc",0.15,mg,1 %
"Protein",0.75,g,2 %
"Alanine",0.045,g,
"Arginine",0.017,g,
"Aspartic acid",0.176,g,
"Cystine",0.012,g,
"Glutamic acid",0.072,g,
"Glycine",0.025,g,
"Histidine",0.011,g,1 %
"Isoleucine",0.023,g,1 %
"Leucine",0.033,g,1 %
"Lysine",0.030,g,1 %
"Methionine",0.006,g,
"Phenylalanine",0.018,g,
"Proline",0.049,g,
"Serine",0.037,g,
"Threonine",0.024,g,1 %
"Tryptophan",0.006,g,1 %
"Tyrosine",0.032,g,
"Valine",0.028,g,1 %
"Phenylalanine + Tyrosine",0.05,g,2 %
"Methionine + Cysteine",0.006,g,0 %
"Carbohydrate",19.18,g,7 %
"Fiber",2.90,g,10 %
"Sugars",16.26,g,
"Net carbs",16.28,g,
"Fat",0.300,g,0 %
"Saturated fatty acids",0.060,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Hexadecanoic acid",0.046,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.012,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.002,g,
"Monounsaturated fatty acids",0.066,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.066,g,
"Polyunsaturated fatty acids",0.144,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.144,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.000,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Phytosterols",31.00,mg,
"Alcohol, ethyl",0.0,g,
"Ash",0.66,g,
"Caffeine",0.00,mg,
