Nutrient,Amount,Unit,DV
Calories,264,,
"Vitamin A, RAE",288.00,mcg,32 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",54.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",0.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",283.00,mcg,
"Thiamin [Vitamin B1]",0.070,mg,6 %
"Riboflavin [Vitamin B2]",0.380,mg,29 %
"Niacin [Vitamin B3]",0.430,mg,3 %
"Pantothenic acid [Vitamin B5]",0.680,mg,14 %
"Vitamin B6",0.250,mg,15 %
"Vitamin B12 [Cobalamin]",0.19,mcg,8 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",12.00,mcg,3 %
"Folate, food",12.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.40,mcg,2 %
"Vitamin D3",0.40,mcg,
"Vitamin E (alpha-tocopherol)",0.18,mg,1 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.18,mg,
"Vitamin K",1.8,mcg,2 %
"Vitamin K1 [Phylloquinone]",1.8,mcg,
"Choline",15.4,mg,3 %
"Calcium",140.00,mg,11 %
"Copper",0.73,mg,81 %
"Iron",1.90,mg,11 %
"Magnesium",16.00,mg,4 %
"Manganese",0.100,mg,4 %
"Phosphorus",256.00,mg,20 %
"Potassium",26.00,mg,1 %
"Selenium",2.80,mcg,5 %
"Sodium",459.00,mg,20 %
"Zinc",0.92,mg,8 %
"Protein",18.52,g,37 %
"Alanine",0.319,g,
"Arginine",0.549,g,
"Aspartic acid",0.920,g,
"Cystine",0.084,g,
"Glutamic acid",3.452,g,
"Glycine",0.209,g,
"Histidine",0.505,g,44 %
"Isoleucine",0.766,g,49 %
"Leucine",1.597,g,47 %
"Lysine",1.330,g,43 %
"Methionine",0.494,g,
"Phenylalanine",0.737,g,
"Proline",2.241,g,
"Serine",0.711,g,
"Threonine",0.691,g,42 %
"Tryptophan",0.195,g,48 %
"Tyrosine",0.723,g,
"Valine",1.274,g,65 %
"Phenylalanine + Tyrosine",1.46,g,54 %
"Methionine + Cysteine",0.494,g,32 %
"Carbohydrate",0.00,g,0 %
"Fiber",0.00,g,0 %
"Sugars",0.00,g,
"Net carbs",0,g,
"Fat",21.080,g,27 %
"Saturated fatty acids",14.575,g,73 %
"Butanoic acid",1.057,g,
"Decanoic acid",2.033,g,
"Dodecanoic acid",0.931,g,
"Hexadecanoic acid",5.515,g,
"Hexanoic acid",0.463,g,
"Octadecanoic acid",1.870,g,
"Octanoic acid",0.569,g,
"Tetradecanoic acid",2.137,g,
"Monounsaturated fatty acids",4.807,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.501,g,
"Octadecenoic acid",4.307,g,
"Polyunsaturated fatty acids",0.501,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.501,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.000,g,
"Cholesterol",46.00,mg,15 %
"Alcohol, ethyl",0.0,g,
"Ash",1.58,g,
"Caffeine",0.00,mg,
