Nutrient,Amount,Unit,DV
Calories,15,,
"Vitamin A, RAE",5.00,mcg,1 %
"Carotene, alpha",1.00,mcg,
"Carotene, beta",55.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",49.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.010,mg,1 %
"Riboflavin [Vitamin B2]",0.210,mg,16 %
"Niacin [Vitamin B3]",1.100,mg,7 %
"Vitamin B6",0.213,mg,13 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",52.00,mcg,13 %
"Folate, food",52.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.11,mg,1 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.11,mg,
"Vitamin K",43.6,mcg,36 %
"Vitamin K1 [Phylloquinone]",43.6,mcg,
"Choline",15.5,mg,3 %
"Calcium",33.00,mg,3 %
"Copper",0.02,mg,2 %
"Iron",2.50,mg,14 %
"Magnesium",14.00,mg,3 %
"Phosphorus",24.00,mg,2 %
"Potassium",151.00,mg,3 %
"Selenium",0.50,mcg,1 %
"Sodium",498.00,mg,22 %
"Zinc",0.22,mg,2 %
"Protein",1.10,g,2 %
"Carbohydrate",2.40,g,1 %
"Fiber",1.60,g,6 %
"Sugars",1.06,g,
"Net carbs",0.8,g,
"Fat",0.500,g,1 %
"Saturated fatty acids",0.067,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.003,g,
"Hexadecanoic acid",0.057,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.003,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.003,g,
"Monounsaturated fatty acids",0.037,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.037,g,
"Polyunsaturated fatty acids",0.241,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.104,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.137,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",1.70,g,
"Caffeine",0.00,mg,
