Nutrient,Amount,Unit,DV
Calories,304,,
"Vitamin A, RAE",254.00,mcg,28 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",0.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",0.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",254.00,mcg,
"Thiamin [Vitamin B1]",0.029,mg,2 %
"Riboflavin [Vitamin B2]",0.367,mg,28 %
"Niacin [Vitamin B3]",0.151,mg,1 %
"Pantothenic acid [Vitamin B5]",0.508,mg,10 %
"Vitamin B6",0.111,mg,7 %
"Vitamin B12 [Cobalamin]",1.33,mcg,55 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",27.00,mcg,7 %
"Folate, food",27.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.40,mcg,2 %
"Vitamin D3",0.40,mcg,
"Vitamin E (alpha-tocopherol)",0.49,mg,3 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.49,mg,
"Tocopherol, beta",0.00,mg,
"Tocopherol, delta",0.00,mg,
"Tocopherol, gamma",0.02,mg,
"Tocotrienol, alpha",0.00,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",5.4,mcg,4 %
"Vitamin K1 [Phylloquinone]",1.3,mcg,
"Vitamin K2 [Menaquinone]",4.1,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Betaine",0.7,mg,
"Choline",14.2,mg,3 %
"Calcium",716.00,mg,55 %
"Copper",0.03,mg,3 %
"Iron",0.23,mg,1 %
"Magnesium",29.00,mg,7 %
"Manganese",0.041,mg,2 %
"Phosphorus",537.00,mg,43 %
"Potassium",131.00,mg,3 %
"Selenium",26.80,mcg,49 %
"Sodium",682.00,mg,30 %
"Zinc",3.61,mg,33 %
"Protein",23.63,g,47 %
"Alanine",0.816,g,
"Arginine",1.056,g,
"Aspartic acid",1.923,g,
"Cystine",0.140,g,
"Glutamic acid",5.530,g,
"Glycine",0.472,g,
"Histidine",0.692,g,61 %
"Isoleucine",1.256,g,81 %
"Leucine",2.372,g,69 %
"Lysine",1.985,g,64 %
"Methionine",0.572,g,
"Phenylalanine",1.227,g,
"Proline",2.612,g,
"Serine",1.358,g,
"Threonine",1.063,g,65 %
"Tryptophan",0.312,g,76 %
"Tyrosine",1.283,g,
"Valine",1.589,g,81 %
"Phenylalanine + Tyrosine",2.51,g,93 %
"Methionine + Cysteine",0.572,g,37 %
"Carbohydrate",8.06,g,3 %
"Fiber",0.00,g,0 %
"Sugars",2.24,g,
"Fructose",0.00,g,
"Galactose",0.75,g,
"Glucose",0.00,g,
"Lactose",1.45,g,
"Maltose",0.00,g,
"Sucrose",0.00,g,
"Net carbs",8.06,g,
"0.09 g",0.50 g,undefined,5.70
"Fat",19.720,g,25 %
"Saturated fatty acids",11.472,g,57 %
"Butanoic acid",0.396,g,
"Decanoic acid",0.503,g,
"Docosanoic acid",0.007,g,
"Dodecanoic acid",0.573,g,
"Eicosanoic acid",0.028,g,
"Heptadecanoic acid",0.116,g,
"Hexadecanoic acid",5.201,g,
"Hexanoic acid",0.335,g,
"Octadecanoic acid",2.066,g,
"Octanoic acid",0.209,g,
"Pentadecanoic acid",0.192,g,
"Tetracosanoic acid",0.005,g,
"Tetradecanoic acid",1.842,g,
"Monounsaturated fatty acids",5.104,g,
"Cis-hexadecenoic acid",0.238,g,
"Cis-octadecenoic acid",4.043,g,
"Docosenoic acid",0.000,g,
"Docosenoic cis acid",0.000,g,
"Docosenoic trans acid",0.000,g,
"Eicosenoic acid",0.036,g,
"Heptadecenoic acid",0.037,g,
"Hexadecenoic acid",0.292,g,
"Octadecenoic acid",4.558,g,
"Pentadecenoic acid",0.000,g,
"Tetracosenoic cis acid",0.000,g,
"Tetradecenoic acid",0.181,g,
"Trans-hexadecenoic acid",0.054,g,
"Trans-octadecenoic acid",0.515,g,
"Polyunsaturated fatty acids",0.861,g,
"α-linolenic acid n-3 (ALA)",0.07,g,
"γ-linolenic acid n-6 (GLA)",0.00,g,
"Cis,cis-eicosadienoic n-6 acid",0.005,g,
"Linoleic acid n-6 (LA)",0.47,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.011,g,
"Docosatetraenoic acid",0.006,g,
"Eicosadienoic acid",0.022,g,
"Eicosadienoic n-3 acid",0.000,g,
"Eicosadienoic n-6 acid",0.021,g,
"Eicosapentaenoic n-3 acid (EPA)",0.006,g,
"Eicosatetraenoic acid",0.030,g,
"Octadecadienoic CLAs acid",0.097,g,
"Octadecadienoic acid",0.706,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.076,g,
"Trans-octadecadienoic acid",0.138,g,
"Trans-octadecatrienoic acid",0.002,g,
"Fatty acids, total trans",0.709,g,
"Fatty acids, total trans-monoenoic",0.569,g,
"Fatty acids, total trans-polyenoic",0.140,g,
"Cholesterol",65.00,mg,22 %
"Alcohol, ethyl",0.0,g,
"Ash",3.78,g,
"Caffeine",0.00,mg,
