Nutrient,Amount,Unit,DV
Calories,39,,
"Vitamin A, RAE",24.00,mcg,3 %
"Carotene, alpha",5.00,mcg,
"Carotene, beta",19.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",286.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",23.00,mcg,
"Thiamin [Vitamin B1]",0.020,mg,2 %
"Riboflavin [Vitamin B2]",0.022,mg,2 %
"Niacin [Vitamin B3]",0.139,mg,1 %
"Vitamin B6",0.162,mg,10 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",22.00,mcg,6 %
"Folate, food",22.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",12.8,mg,14 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.41,mg,3 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.41,mg,
"Vitamin K",14.0,mcg,12 %
"Vitamin K1 [Phylloquinone]",14.0,mcg,
"Choline",10.6,mg,2 %
"Calcium",30.00,mg,2 %
"Copper",0.09,mg,10 %
"Iron",1.42,mg,8 %
"Magnesium",13.00,mg,3 %
"Phosphorus",20.00,mg,2 %
"Potassium",165.00,mg,4 %
"Selenium",0.60,mcg,1 %
"Sodium",661.00,mg,29 %
"Zinc",0.19,mg,2 %
"Protein",0.90,g,2 %
"Carbohydrate",4.16,g,2 %
"Fiber",2.80,g,10 %
"Sugars",1.72,g,
"Net carbs",1.36,g,
"Fat",2.510,g,3 %
"Saturated fatty acids",1.177,g,6 %
"Butanoic acid",0.062,g,
"Decanoic acid",0.050,g,
"Dodecanoic acid",0.052,g,
"Hexadecanoic acid",0.529,g,
"Hexanoic acid",0.038,g,
"Octadecanoic acid",0.259,g,
"Octanoic acid",0.024,g,
"Tetradecanoic acid",0.144,g,
"Monounsaturated fatty acids",0.722,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.004,g,
"Hexadecenoic acid",0.019,g,
"Octadecenoic acid",0.699,g,
"Polyunsaturated fatty acids",0.453,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.382,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.070,g,
"Cholesterol",4.00,mg,1 %
"Alcohol, ethyl",0.0,g,
"Caffeine",0.00,mg,
