Nutrient,Amount,Unit,DV
Calories,29,,
"Vitamin A, RAE",586.00,mcg,65 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",7035.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",12651.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.094,mg,8 %
"Riboflavin [Vitamin B2]",0.224,mg,17 %
"Niacin [Vitamin B3]",0.507,mg,3 %
"Pantothenic acid [Vitamin B5]",0.094,mg,2 %
"Vitamin B6",0.172,mg,10 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",145.00,mcg,36 %
"Folate, food",145.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",5.5,mg,6 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",2.90,mg,19 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",2.90,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0.00,mg,
"Tocopherol, gamma",0.14,mg,
"Tocotrienol, alpha",0.00,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",372.0,mcg,310 %
"Vitamin K1 [Phylloquinone]",372.0,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Betaine",117.4,mg,
"Choline",22.1,mg,4 %
"Calcium",129.00,mg,10 %
"Copper",0.14,mg,16 %
"Iron",1.89,mg,10 %
"Magnesium",75.00,mg,18 %
"Manganese",0.704,mg,31 %
"Phosphorus",49.00,mg,4 %
"Potassium",346.00,mg,7 %
"Selenium",6.00,mcg,11 %
"Sodium",74.00,mg,3 %
"Zinc",0.56,mg,5 %
"Protein",3.63,g,7 %
"Alanine",0.218,g,
"Arginine",0.481,g,
"Aspartic acid",0.429,g,
"Cystine",0.029,g,
"Glutamic acid",0.508,g,
"Glycine",0.221,g,
"Histidine",0.049,g,4 %
"Isoleucine",0.126,g,8 %
"Leucine",0.202,g,6 %
"Lysine",0.251,g,8 %
"Methionine",0.052,g,
"Phenylalanine",0.207,g,
"Proline",0.198,g,
"Serine",0.170,g,
"Threonine",0.217,g,13 %
"Tryptophan",0.100,g,24 %
"Tyrosine",0.215,g,
"Valine",0.178,g,9 %
"Phenylalanine + Tyrosine",0.422,g,16 %
"Methionine + Cysteine",0.052,g,3 %
"Carbohydrate",4.21,g,2 %
"Fiber",2.90,g,10 %
"Starch",0.00,g,
"Sugars",0.65,g,
"Fructose",0.18,g,
"Galactose",0.00,g,
"Glucose",0.24,g,
"Lactose",0.00,g,
"Maltose",0.00,g,
"Sucrose",0.24,g,
"Net carbs",1.31,g,
"Fat",0.570,g,1 %
"Saturated fatty acids",0.041,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Docosanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Eicosanoic acid",0.000,g,
"Heptadecanoic acid",0.000,g,
"Hexadecanoic acid",0.041,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.000,g,
"Octanoic acid",0.000,g,
"Pentadecanoic acid",0.000,g,
"Tetracosanoic acid",0.000,g,
"Tetradecanoic acid",0.000,g,
"Monounsaturated fatty acids",0.000,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.000,g,
"Tetradecenoic acid",0.000,g,
"Polyunsaturated fatty acids",0.082,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.000,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.082,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",1.43,g,
"Caffeine",0.00,mg,
