Nutrient,Amount,Unit,DV
Calories,63,,
"Vitamin A, RAE",163.74,mcg,18 %
"Carotene, alpha",315.95,mcg,
"Carotene, beta",1766.65,mcg,
"Cryptoxanthin, beta",7.13,mcg,
"Lutein + zeaxanthin",349.2,mcg,
"Lycopene",5.32,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.052,mg,4 %
"Riboflavin [Vitamin B2]",0.057,mg,4 %
"Niacin [Vitamin B3]",0.607,mg,4 %
"Pantothenic acid [Vitamin B5]",0.164,mg,3 %
"Vitamin B6",0.146,mg,9 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",35.61,mcg,9 %
"Folate, food",28.79,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",39.4,mg,44 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.45,mg,3 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.45,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.03,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",32.4,mcg,27 %
"Vitamin K1 [Phylloquinone]",31.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",9.7,mg,2 %
"Calcium",28.18,mg,2 %
"Copper",0.06,mg,7 %
"Fluoride",1.8,mcg,
"Iodine",0,mcg,0 %
"Iron",0.57,mg,3 %
"Magnesium",14.24,mg,3 %
"Manganese",0.124,mg,5 %
"Phosphorus",34.34,mg,3 %
"Potassium",230.09,mg,5 %
"Selenium",0.96,mcg,2 %
"Sodium",65.78,mg,3 %
"Zinc",0.34,mg,3 %
"Protein",1.7,g,3 %
"Alanine",0.037,g,
"Arginine",0.049,g,
"Aspartic acid",0.123,g,
"Cystine",0.016,g,
"Cysteine",0,g,
"Glutamic acid",0.206,g,
"Glycine",0.028,g,
"Histidine",0.016,g,1 %
"Hydroxyproline",0,g,
"Isoleucine",0.028,g,2 %
"Leucine",0.042,g,1 %
"Lysine",0.043,g,1 %
"Methionine",0.01,g,
"Phenylalanine",0.037,g,
"Proline",0.031,g,
"Serine",0.039,g,
"Threonine",0.043,g,3 %
"Tryptophan",0.01,g,2 %
"Tyrosine",0.018,g,
"Valine",0.036,g,2 %
"Phenylalanine + Tyrosine",0.055,g,2 %
"Methionine + Cysteine",0.026,g,2 %
"Carbohydrate",14.14,g,5 %
"Fiber",1.88,g,7 %
"Starch",0.13,g,
"Sugars",2.67,g,
"Fructose",0.69,g,
"Galactose",0,g,
"Glucose",0.81,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.51,g,
"Net carbs",12.26,g,
"Fat",0.318,g,0 %
"Saturated fatty acids",0.07,g,0 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.055,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.004,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.001,g,
"Monounsaturated fatty acids",0.069,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0.067,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",0.121,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.063,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.037,g,
"Fatty acids, total trans",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",1.75,mg,
"Alcohol, ethyl",0,g,
"Ash",0.43,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",83.15,g,
