Nutrient,Amount,Unit,DV
Calories,27,,
"Vitamin A, RAE",0.00,mcg,0 %
"Carotene, alpha",0.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein",95.00,mcg,
"Lycopene",4100.00,mcg,
"Zeaxanthin",9.00,mcg,
"cis-Lutein/Zeaxanthin",12.00,mcg,
"cis-Lycopene",554.00,mcg,
"cis-beta-Carotene",49.00,mcg,
"trans-beta-Carotene",393.00,mcg,
"Thiamin [Vitamin B1]",0.075,mg,6 %
"Riboflavin [Vitamin B2]",0.065,mg,5 %
"Niacin [Vitamin B3]",0.805,mg,5 %
"Vitamin B6",0.060,mg,4 %
"Vitamin C [Ascorbic acid]",27.2,mg,30 %
"Vitamin E (alpha-tocopherol)",0.98,mg,7 %
"Tocopherol, alpha",0.98,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0.12,mg,
"Tocopherol, gamma",0.70,mg,
"Tocotrienol, alpha",0.00,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",4.2,mcg,4 %
"Vitamin K1 [Phylloquinone]",4.2,mcg,
"Vitamin K2 [Menaquinone]",0.0,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Betaine",0.0,mg,
"Choline",9.8,mg,2 %
"Calcium",11.00,mg,1 %
"Copper",0.06,mg,7 %
"Iron",0.33,mg,2 %
"Magnesium",11.90,mg,3 %
"Manganese",0.121,mg,5 %
"Phosphorus",28.00,mg,2 %
"Potassium",260.00,mg,6 %
"Sodium",6.00,mg,0 %
"Zinc",0.20,mg,2 %
"Protein",0.83,g,2 %
"Carbohydrate",5.51,g,2 %
"Fiber",2.10,g,8 %
"Net carbs",3.41,g,
"Fat",0.630,g,1 %
"Ash",0.56,g,
"Choline, free",8.00,mg,
"Choline, from glycerophosphocholine",0.00,mg,
"Choline, from phosphocholine",0.60,mg,
"Choline, from phosphotidyl choline",1.20,mg,
"Choline, from sphingomyelin",0.00,mg,
"Cryptoxanthin, alpha",0.00,mcg,
