Nutrient,Amount,Unit,DV
Calories,154,,
"Vitamin A, RAE",627.23,mcg,70 %
"Carotene, alpha",2331.62,mcg,
"Carotene, beta",6245.05,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",162.16,mcg,
"Lycopene",0.57,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.236,mg,20 %
"Riboflavin [Vitamin B2]",0.194,mg,15 %
"Niacin [Vitamin B3]",1.852,mg,12 %
"Pantothenic acid [Vitamin B5]",0.849,mg,17 %
"Vitamin B6",0.462,mg,27 %
"Vitamin B12 [Cobalamin]",0.18,mcg,8 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",80.13,mcg,20 %
"Folate, food",35.15,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",104.2,mg,116 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",6.08,mg,41 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",6.08,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0,mg,
"Tocotrienol, alpha",0.03,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",57.8,mcg,48 %
"Vitamin K1 [Phylloquinone]",50.6,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.9,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",29.4,mg,5 %
"Calcium",143.74,mg,11 %
"Copper",0.2,mg,22 %
"Fluoride",3.5,mcg,
"Iodine",0,mcg,0 %
"Iron",2.32,mg,13 %
"Magnesium",52.75,mg,13 %
"Manganese",0.98,mg,43 %
"Phosphorus",97.98,mg,8 %
"Potassium",656.8,mg,14 %
"Selenium",3.95,mcg,7 %
"Sodium",1399.66,mg,61 %
"Zinc",0.81,mg,7 %
"Protein",4.19,g,8 %
"Alanine",0.201,g,
"Arginine",0.345,g,
"Aspartic acid",0.579,g,
"Cystine",0.087,g,
"Cysteine",0.02,g,
"Glutamic acid",0.929,g,
"Glycine",0.146,g,
"Histidine",0.102,g,9 %
"Hydroxyproline",0,g,
"Isoleucine",0.15,g,10 %
"Leucine",0.239,g,7 %
"Lysine",0.252,g,8 %
"Methionine",0.055,g,
"Phenylalanine",0.165,g,
"Proline",0.172,g,
"Serine",0.162,g,
"Threonine",0.225,g,14 %
"Tryptophan",0.046,g,11 %
"Tyrosine",0.104,g,
"Valine",0.176,g,9 %
"Phenylalanine + Tyrosine",0.269,g,10 %
"Methionine + Cysteine",0.162,g,10 %
"Carbohydrate",26.68,g,10 %
"Fiber",6.21,g,22 %
"Starch",0.81,g,
"Sugars",12.18,g,
"Fructose",1.13,g,
"Galactose",0,g,
"Glucose",1.28,g,
"Lactose",0,g,
"Maltose",0.01,g,
"Sucrose",2.09,g,
"Net carbs",20.47,g,
"Fat",4.61,g,6 %
"Saturated fatty acids",0.801,g,4 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.036,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.001,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",2.811,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.001,g,
"Octadecenoic acid",0.016,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",0.612,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.067,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.001,g,
"Fatty acids, total trans",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",6.24,mg,
"Alcohol, ethyl",0,g,
"Ash",0.91,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",695.9,g,
