Nutrient,Amount,Unit,DV
Calories,335,,
"Vitamin A, RAE",98.61,mcg,11 %
"Carotene, alpha",30.52,mcg,
"Carotene, beta",1140.12,mcg,
"Cryptoxanthin, beta",37.5,mcg,
"Lutein + zeaxanthin",88.72,mcg,
"Lycopene",1.5,mcg,
"Retinol",0.81,mcg,
"Thiamin [Vitamin B1]",0.18,mg,15 %
"Riboflavin [Vitamin B2]",0.376,mg,29 %
"Niacin [Vitamin B3]",2.813,mg,18 %
"Pantothenic acid [Vitamin B5]",0.368,mg,7 %
"Vitamin B6",0.554,mg,33 %
"Vitamin B12 [Cobalamin]",0.57,mcg,24 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",57.68,mcg,14 %
"Folate, food",63.07,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",51.9,mg,58 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.78,mg,5 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.78,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.02,mg,
"Tocotrienol, alpha",0.07,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",4.5,mcg,4 %
"Vitamin K1 [Phylloquinone]",4.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.1,mg,
"Choline",32.8,mg,6 %
"Calcium",411.87,mg,32 %
"Copper",0.33,mg,37 %
"Fluoride",2.4,mcg,
"Iron",2.04,mg,11 %
"Magnesium",91.96,mg,22 %
"Manganese",0.597,mg,26 %
"Phosphorus",251.28,mg,20 %
"Potassium",884.25,mg,19 %
"Selenium",16.67,mcg,30 %
"Sodium",83.49,mg,4 %
"Zinc",1.4,mg,13 %
"Protein",24.1,g,48 %
"Alanine",0.159,g,
"Arginine",0.29,g,
"Aspartic acid",0.323,g,
"Cystine",0.055,g,
"Glutamic acid",0.552,g,
"Glycine",0.146,g,
"Histidine",0.143,g,13 %
"Isoleucine",0.119,g,8 %
"Leucine",0.226,g,7 %
"Lysine",0.162,g,5 %
"Methionine",0.074,g,
"Phenylalanine",0.166,g,
"Proline",0.116,g,
"Serine",0.159,g,
"Threonine",0.109,g,7 %
"Tryptophan",0.058,g,14 %
"Tyrosine",0.072,g,
"Valine",0.156,g,8 %
"Phenylalanine + Tyrosine",0.238,g,9 %
"Methionine + Cysteine",0.074,g,5 %
"Carbohydrate",50.14,g,18 %
"Fiber",8.89,g,32 %
"Starch",5.92,g,
"Sugars",29.85,g,
"Fructose",5.34,g,
"Galactose",0,g,
"Glucose",5.48,g,
"Lactose",0,g,
"Maltose",0.01,g,
"Sucrose",2.63,g,
"Net carbs",41.25,g,
"1.96 g",0.64 g,undefined,0.33
"Fat",6.547,g,8 %
"Saturated fatty acids",1.309,g,7 %
"Butanoic acid",0,g,
"Decanoic acid",0.011,g,
"Docosanoic acid",0.004,g,
"Dodecanoic acid",0.007,g,
"Eicosanoic acid",0.01,g,
"Heptadecanoic acid",0.007,g,
"Hexadecanoic acid",0.429,g,
"Hexanoic acid",0.002,g,
"Octadecanoic acid",0.127,g,
"Octanoic acid",0.003,g,
"Pentadecanoic acid",0.003,g,
"Tetradecanoic acid",0.021,g,
"Monounsaturated fatty acids",0.887,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.007,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.037,g,
"Octadecenoic acid",0.353,g,
"Tetradecenoic acid",0.003,g,
"Polyunsaturated fatty acids",2.957,g,
"α-linolenic acid n-3 (ALA)",1.96,g,
"Linoleic acid n-6 (LA)",0.64,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.758,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",2.034,g,
"Fatty acids, total trans",0.015,g,
"Cholesterol",38.13,mg,13 %
"Phytosterols",17.61,mg,
"Alcohol, ethyl",0,g,
"Ash",1.43,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",283.21,g,
