Nutrient,Amount,Unit,DV
Calories,368,,
"Vitamin A, RAE",126.92,mcg,14 %
"Carotene, alpha",55.46,mcg,
"Carotene, beta",1370.28,mcg,
"Cryptoxanthin, beta",242.16,mcg,
"Lutein + zeaxanthin",1092.93,mcg,
"Lycopene",1.26,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.132,mg,11 %
"Riboflavin [Vitamin B2]",0.17,mg,13 %
"Niacin [Vitamin B3]",1.277,mg,8 %
"Pantothenic acid [Vitamin B5]",0.415,mg,8 %
"Vitamin B6",0.294,mg,17 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",95.2,mcg,24 %
"Folate, food",95.75,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",78.5,mg,87 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",2.28,mg,15 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.28,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.42,mg,
"Tocotrienol, alpha",0.1,mg,
"Tocotrienol, beta",0.01,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.04,mg,
"Vitamin K",71.3,mcg,59 %
"Vitamin K1 [Phylloquinone]",71.3,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",2.9,mg,
"Choline",19,mg,3 %
"Calcium",186.82,mg,14 %
"Copper",0.35,mg,39 %
"Fluoride",0.4,mcg,
"Iron",5.14,mg,29 %
"Magnesium",70.51,mg,17 %
"Manganese",0.905,mg,39 %
"Phosphorus",185.84,mg,15 %
"Potassium",757.56,mg,16 %
"Selenium",3.04,mcg,6 %
"Sodium",1219.64,mg,53 %
"Zinc",1.37,mg,12 %
"Protein",40.73,g,81 %
"Alanine",0.436,g,
"Arginine",0.584,g,
"Aspartic acid",1.068,g,
"Cystine",0.086,g,
"Glutamic acid",1.55,g,
"Glycine",0.38,g,
"Histidine",0.236,g,21 %
"Hydroxyproline",0,g,
"Isoleucine",0.405,g,26 %
"Leucine",0.669,g,20 %
"Lysine",0.591,g,19 %
"Methionine",0.119,g,
"Phenylalanine",0.462,g,
"Proline",0.543,g,
"Serine",0.501,g,
"Threonine",0.375,g,23 %
"Tryptophan",0.105,g,26 %
"Tyrosine",0.206,g,
"Valine",0.475,g,24 %
"Phenylalanine + Tyrosine",0.668,g,25 %
"Methionine + Cysteine",0.119,g,8 %
"Carbohydrate",38.36,g,14 %
"Fiber",9.78,g,35 %
"Starch",9.43,g,
"Sugars",7.95,g,
"Sugars, added",2.5,g,
"Fructose",3.09,g,
"Galactose",0.01,g,
"Glucose",3.08,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.8,g,
"Net carbs",28.58,g,
"0.02 g",,undefined,0.00
"Fat",10.006,g,13 %
"Saturated fatty acids",2.309,g,12 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.002,g,
"Dodecanoic acid",0.003,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.244,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.025,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.006,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",0.235,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0.068,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.003,g,
"Octadecenoic acid",0.231,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.617,g,
"α-linolenic acid n-3 (ALA)",0.02,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.358,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.256,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",128.52,mg,43 %
"Phytosterols",8.55,mg,
"Alcohol, ethyl",0,g,
"Ash",3.56,g,
"Caffeine",0,mg,
"Nitrogen",0.1,g,
"Theobromine",0,mg,
"Water",296.73,g,
