Ingredient,Amount,Unit,Description
"Wild rice",180,g,"1 cup"
"Water",480,g,"2 cup"
"Salt",6,g,"1 tsp"
"Sweet potato",200,g,"1 medium"
"Extra virgin olive oil",5,g,"1 tsp"
"Lemon pepper",4,g,"1 tsp"
"Boneless skinless chicken breast",454,g,"1 lb"
"Extra virgin olive oil",5,g,"1 tsp"
"Apple cider vinegar",30,g,"2 tbsp"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",10,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Black pepper, ground",3,g,"1 tsp"
"Kale",454,g,"1 lb"
"Apple, gala",150,g,"1 medium"
"Goat cheese",113,g,"4 oz"
"Almonds",56,g,"2 oz"
"Lemon juice",120,g,"8 tbsp"
Servings,4
