Ingredient,Amount,Unit,Description
"Chili powder",30,g,"11 tsp"
"Cumin, ground",10,g,"4 tsp"
"Paprika",10,g,"4 tsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",6,g,"2 tsp"
"Oregano, dried",2,g,"2 tsp"
"Black pepper, ground",4.5,g,"1.5 tsp"
"Salt",6,g,"1 tsp"
"Cornstarch",3,g,"1 tsp"
"Cayenne pepper",1.5,g,"1/2 tsp"
"Onion",550,g,"5 medium"
"Extra virgin olive oil",5,g,"1 tsp"
"Lime juice",15,g,"1 tbsp"
"Ground turkey, 93/7",589,g,"1.3 lb"
"Extra virgin olive oil",5,g,"1 tsp"
"Minced garlic",30,g,"2 tbsp"
"Water",60,g,"1/4 cup"
"Apple cider vinegar",30,g,"2 tbsp"
"Lime juice",15,g,"1 tbsp"
Servings,5
