Ingredient,Amount,Unit,Description
"Eggs, egg whole, Large, Grade A",50,g,"1 egg"
"Yogurt, plain, nonfat milk, Greek",15,g,"0.0625 cup"
"Dijon mustard by KOOPS'",8,g,"1.5 tsp"
"Lemon juice from concentrate, REAL LEMON, bottled",8,g,"0.5 tbsp"
"Soy sauce made from soy and wheat (shoyu), low sodium",7,g,"0.5 tbsp"
"Spices, dried, parsley",1,g,"1.5 tsp"
"Spices, dried, oregano",1,g,"0.5 tsp, leaves"
"Spices, chili powder",1,g,"0.5 tsp"
"Spices, garlic powder",2,g,"0.5 tsp"
"Spices, onion powder",1,g,"0.5 tsp"
"Old bay, seasoning by Baltimore Spice Co",1,g,"0.5 tsp"
"Fish, drained solids, canned in water, light, tuna",227,g,"8 ounce"
"Organic coconut flour by Bob's Red Mill Natural Foods, Inc.",14,g,"2 tbsp"
Servings,12
