Nutrient,Amount,Unit,DV
Calories,338,,
"Vitamin A, RAE",189.67,mcg,21 %
"Carotene, alpha",124.85,mcg,
"Carotene, beta",1967.66,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",209.03,mcg,
"Lycopene",6755.12,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.361,mg,30 %
"Riboflavin [Vitamin B2]",0.277,mg,21 %
"Niacin [Vitamin B3]",4.186,mg,26 %
"Pantothenic acid [Vitamin B5]",0.749,mg,15 %
"Vitamin B6",0.657,mg,39 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",95.13,mcg,24 %
"Folate, food",52.63,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",95.5,mg,106 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",4.99,mg,33 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",4.99,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",19.5,mcg,16 %
"Vitamin K1 [Phylloquinone]",7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.3,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",35.3,mg,6 %
"Calcium",249.15,mg,19 %
"Copper",0.87,mg,97 %
"Fluoride",0.6,mcg,
"Iodine",0,mcg,0 %
"Iron",7.23,mg,40 %
"Magnesium",112.17,mg,27 %
"Manganese",1.201,mg,52 %
"Phosphorus",313.68,mg,25 %
"Potassium",1247.35,mg,27 %
"Selenium",5.87,mcg,11 %
"Sodium",1756.56,mg,76 %
"Zinc",2.22,mg,20 %
"Protein",16.79,g,34 %
"Alanine",0.547,g,
"Arginine",0.699,g,
"Aspartic acid",1.688,g,
"Cystine",0.144,g,
"Cysteine",0.03,g,
"Glutamic acid",2.693,g,
"Glycine",0.512,g,
"Histidine",0.322,g,28 %
"Hydroxyproline",0,g,
"Isoleucine",0.527,g,34 %
"Leucine",0.905,g,26 %
"Lysine",0.809,g,26 %
"Methionine",0.162,g,
"Phenylalanine",0.65,g,
"Proline",0.683,g,
"Serine",0.671,g,
"Threonine",0.498,g,30 %
"Tryptophan",0.159,g,39 %
"Tyrosine",0.282,g,
"Valine",0.613,g,31 %
"Phenylalanine + Tyrosine",0.932,g,35 %
"Methionine + Cysteine",0.192,g,12 %
"Carbohydrate",55.36,g,20 %
"Fiber",7.86,g,28 %
"Starch",0,g,
"Sugars",11.42,g,
"Fructose",4.15,g,
"Galactose",0,g,
"Glucose",3.75,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.05,g,
"Net carbs",47.5,g,
"Fat",8.891,g,11 %
"Saturated fatty acids",1.052,g,5 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Dodecanoic acid",0,g,
"Hexadecanoic acid",0.421,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.194,g,
"Octanoic acid",0,g,
"Tetradecanoic acid",0.011,g,
"Monounsaturated fatty acids",2.979,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.006,g,
"Hexadecenoic acid",0.014,g,
"Octadecenoic acid",1.658,g,
"Polyunsaturated fatty acids",2.769,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",1.995,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.04,g,
"Fatty acids, total trans",0,g,
"Cholesterol",0,mg,0 %
"Alcohol, ethyl",0,g,
"Ash",3.89,g,
"Caffeine",0,mg,
"Nitrogen",0.1,g,
"Theobromine",0,mg,
"Water",394.89,g,
